Player X,Player Y,player,team,Recipient X,Recipient Y,Recipient,Count
16.8833333333333,42.7333333333333,Mary Alexandra Earps,"England Women's",38.025,58.325,Millie Bright,5
16.8833333333333,42.7333333333333,Mary Alexandra Earps,"England Women's",54.2333333333333,11.78,Rachel Daly,2
38.025,58.325,Millie Bright,"England Women's",94.9625,38.7125,Bethany Mead,1
38.025,58.325,Millie Bright,"England Women's",54.6,48.9125,Georgia Stanway,1
38.025,58.325,Millie Bright,"England Women's",49.13125,34.4875,Keira Walsh,4
38.025,58.325,Millie Bright,"England Women's",42.4285714285714,24.6095238095238,Leah Williamson,18
38.025,58.325,Millie Bright,"England Women's",58.0333333333333,73.2533333333333,Lucy Bronze,5
38.025,58.325,Millie Bright,"England Women's",16.8833333333333,42.7333333333333,Mary Alexandra Earps,6
38.025,58.325,Millie Bright,"England Women's",54.2333333333333,11.78,Rachel Daly,2
54.2333333333333,11.78,Rachel Daly,"England Women's",92.7333333333333,51.5166666666667,Ellen White,1
54.2333333333333,11.78,Rachel Daly,"England Women's",54.6,48.9125,Georgia Stanway,2
54.2333333333333,11.78,Rachel Daly,"England Women's",49.13125,34.4875,Keira Walsh,7
54.2333333333333,11.78,Rachel Daly,"England Women's",86.4444444444444,28.4333333333333,Lauren Hemp,3
54.2333333333333,11.78,Rachel Daly,"England Women's",42.4285714285714,24.6095238095238,Leah Williamson,6
54.2333333333333,11.78,Rachel Daly,"England Women's",58.0333333333333,73.2533333333333,Lucy Bronze,1
54.2333333333333,11.78,Rachel Daly,"England Women's",16.8833333333333,42.7333333333333,Mary Alexandra Earps,1
