RecordID,Team Shot Name,Row,Column,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,Arsenal,0,0,443788,55,Goal,1.164,0.526400024414063,0.20091499388217926,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16496,Arsenal,Newcastle United,2,0,2021-11-27 12:30:00,Nuno Tavares,LayOff
0,Arsenal,0,0,445816,86,BlockedShot,1.044,0.244800003051758,0.026819100603461266,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16512,Manchester United,Arsenal,3,2,2021-12-02 20:15:00,Nuno Tavares,Cross
0,Arsenal,0,0,447250,85,SavedShot,0.879600036621094,0.378399993896484,0.01791040040552616,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16517,Everton,Arsenal,2,1,2021-12-06 20:00:00,Takehiro Tomiyasu,TakeOn
0,Arsenal,0,0,447735,39,SavedShot,1.09080001831055,0.273600006103516,0.44019898772239685,Bukayo Saka,h,7322,OpenPlay,2021,RightFoot,16526,Arsenal,Southampton,3,0,2021-12-11 15:00:00,Martin Odegaard,Throughball
0,Arsenal,0,0,447746,66,ShotOnPost,1.056,0.309600006103516,0.0989706963300705,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16526,Arsenal,Southampton,3,0,2021-12-11 15:00:00,Thomas Partey,Pass
0,Arsenal,0,0,447752,89,MissedShots,1.07519998168945,0.280799987792969,0.08583620190620422,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16526,Arsenal,Southampton,3,0,2021-12-11 15:00:00,Martin Odegaard,Pass
0,Arsenal,0,0,449127,24,MissedShots,1.10039996337891,0.282399993896484,0.06837160140275955,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16536,Arsenal,West Ham,2,0,2021-12-15 20:00:00,,None
0,Arsenal,0,0,449137,46,MissedShots,0.925199981689453,0.252800003051758,0.01777550019323826,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16536,Arsenal,West Ham,2,0,2021-12-15 20:00:00,Alexandre Lacazette,Pass
0,Arsenal,0,0,449148,78,BlockedShot,1.086,0.435200012207031,0.13994799554347992,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16536,Arsenal,West Ham,2,0,2021-12-15 20:00:00,Gabriel Martinelli,Pass
0,Arsenal,0,0,449573,2,MissedShots,1.06080001831055,0.342399993896484,0.3710060119628906,Bukayo Saka,a,7322,OpenPlay,2021,RightFoot,16548,Leeds,Arsenal,1,4,2021-12-18 17:30:00,,BallTouch
0,Arsenal,0,0,449577,17,BlockedShot,0.982800018310547,0.361600006103516,0.07401119917631149,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16548,Leeds,Arsenal,1,4,2021-12-18 17:30:00,Ben White,Pass
0,Arsenal,0,0,449586,39,BlockedShot,1.01519998168945,0.323200012207031,0.08184920251369476,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16548,Leeds,Arsenal,1,4,2021-12-18 17:30:00,Alexandre Lacazette,Pass
0,Arsenal,0,0,449587,41,Goal,1.056,0.483200012207031,0.09338080137968063,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16548,Leeds,Arsenal,1,4,2021-12-18 17:30:00,,BallTouch
0,Arsenal,0,0,449589,44,SavedShot,1.044,0.282399993896484,0.09356459975242615,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16548,Leeds,Arsenal,1,4,2021-12-18 17:30:00,Martin Odegaard,Pass
0,Arsenal,0,0,449593,66,BlockedShot,0.945600036621094,0.307200012207031,0.031084299087524414,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16548,Leeds,Arsenal,1,4,2021-12-18 17:30:00,,None
0,Arsenal,0,0,449594,67,MissedShots,1.08960003662109,0.54,0.09901539981365204,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16548,Leeds,Arsenal,1,4,2021-12-18 17:30:00,Gabriel Martinelli,Pass
0,Arsenal,0,0,450572,5,Goal,1.04639996337891,0.308,0.08864550292491913,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16562,Norwich,Arsenal,0,5,2021-12-26 15:00:00,Martin Odegaard,Pass
0,Arsenal,0,0,450578,28,MissedShots,1.07039996337891,0.380799987792969,0.1325259953737259,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16562,Norwich,Arsenal,0,5,2021-12-26 15:00:00,,Rebound
0,Arsenal,0,0,450587,66,Goal,0.961199981689453,0.284,0.04242049902677536,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16562,Norwich,Arsenal,0,5,2021-12-26 15:00:00,Alexandre Lacazette,Pass
0,Arsenal,0,0,450946,30,Goal,1.026,0.368,0.09919179975986481,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16576,Arsenal,Manchester City,1,2,2022-01-01 12:30:00,Kieran Tierney,Pass
0,Arsenal,0,0,455100,43,MissedShots,1.03319998168945,0.551200012207031,0.04402239993214607,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16596,Arsenal,Burnley,0,0,2022-01-23 14:00:00,Gabriel Martinelli,Pass
0,Arsenal,0,0,455101,45,MissedShots,1.05119998168945,0.223199996948242,0.03656249865889549,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16596,Arsenal,Burnley,0,0,2022-01-23 14:00:00,Martin Odegaard,Pass
0,Arsenal,0,0,455105,66,SavedShot,0.943199981689453,0.264,0.020440300926566124,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16596,Arsenal,Burnley,0,0,2022-01-23 14:00:00,Ben White,TakeOn
0,Arsenal,0,0,455109,70,BlockedShot,1.03319998168945,0.292799987792969,0.07312720268964767,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16596,Arsenal,Burnley,0,0,2022-01-23 14:00:00,Alexandre Lacazette,Pass
0,Arsenal,0,0,456705,62,BlockedShot,0.956399963378906,0.231199996948242,0.028418300673365593,Bukayo Saka,a,7322,OpenPlay,2021,LeftFoot,16611,Wolverhampton Wanderers,Arsenal,0,1,2022-02-10 19:45:00,Martin Odegaard,Pass
0,Arsenal,0,0,458230,7,MissedShots,1.17,0.272799987792969,0.059542398899793625,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16626,Arsenal,Brentford,2,1,2022-02-19 15:00:00,Alexandre Lacazette,None
0,Arsenal,0,0,458231,10,SavedShot,1.062,0.312,0.07219170033931732,Bukayo Saka,h,7322,OpenPlay,2021,LeftFoot,16626,Arsenal,Brentford,2,1,2022-02-19 15:00:00,Ben White,None
0,Arsenal,0,0,458238,33,MissedShots,0.993600036621094,0.279200012207031,0.027837300673127174,Bukayo Saka,h,7322,FromCorner,2021,LeftFoot,16626,Arsenal,Brentford,2,1,2022-02-19 15:00:00,,None
