0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Shot Chart Detail,0042100314,73,203493,Reggie Bullock,1610612742,Dallas Mavericks,1,5,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,199,146,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,80,203952,Andrew Wiggins,1610612744,Golden State Warriors,1,5,37,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-86,173,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,81,1628467,Maxi Kleber,1610612742,Dallas Mavericks,1,5,18,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,242,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,83,202691,Klay Thompson,1610612744,Golden State Warriors,1,4,55,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-93,184,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,85,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,4,38,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,87,202691,Klay Thompson,1610612744,Golden State Warriors,1,4,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,204,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,105,1628467,Maxi Kleber,1610612742,Dallas Mavericks,1,3,36,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-3,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,107,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,21,Missed Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,32,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,109,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,3,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,2,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,118,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,1,2,43,Missed Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,7,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,121,203493,Reggie Bullock,1610612742,Dallas Mavericks,1,2,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,170,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,123,203952,Andrew Wiggins,1610612744,Golden State Warriors,1,2,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-56,246,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,125,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,1,49,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,115,232,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,136,203493,Reggie Bullock,1610612742,Dallas Mavericks,1,1,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-197,154,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,138,1630228,Jonathan Kuminga,1610612744,Golden State Warriors,1,1,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,9,250,1,0,20220524,DAL,GSW
