My Circle,My Rank,Circle Ring,User,Circle Person,User rank,User Ring,Is Me,Common
@ItsElisaDavis,1.,1,@ItsElisaDavis,@ReadySetData,23.,2,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@flerlagekr,24.,2,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@AdamMico1,25.,3,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@TheVizardOfAhs,26.,3,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@AnneNeo78,27.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@NicoleKlassen12,28.,3,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@SParsonsDataViz,29.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@justaskforalex,30.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@maf2k,31.,3,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@El_Dabrah,32.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@kirkmunroe,33.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@imagineazhar,34.,3,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@prem_prasann,35.,3,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@professorkao,36.,3,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@Blu7ip,37.,3,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@DanielleAlberti,38.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@graph_hopper,39.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@VizWhat,40.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@LarissaKostiw,41.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@datamasterchief,42.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@BrittTweets,43.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@0yu_111,44.,3,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@_CJMayes,45.,3,no,yes
