50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.698052,,,,,,,,,,,,,f116fcb8-7f6a-40c0-ba0e-dcf506db3447,3130,,"[89.7, 47.6]",3906390,88,,,,,-1.2287678,,Left Foot,,,,"[96.5, 28.5]",,Ground Pass,,20.274368,,,,María Francesca Caldentey Oliver,,,,,,,2,Regular Play,Salma Paralluelo Ayingono,222682.0,Center Forward,171,Spain Women's,863,['f42059ac-9e20-4592-b179-e8ef1be4aa23'],57,,,,,,,,,,,,,,,Spain Women's,863,00:43:57.097,Pass,
,,,,,,,,,,,,,,,,,,1.298061,,,,,,,,,,,,,83b6641e-2f0e-460e-afdc-eeac31975090,3133,,"[95.7, 28.4]",3906390,88,,,,,0.13880746,13bfb975-c566-4d4b-8ab9-13f86b171c99,Right Foot,,,,"[109.3, 30.3]",,Ground Pass,,13.7320795,,,,Jennifer Hermoso Fuentes,True,,,,,,2,Regular Play,María Francesca Caldentey Oliver,10161.0,Left Wing,171,Spain Women's,863,['6d9ce2f4-4d53-408e-840d-92834a660d7e'],59,,,,,,,,,,,,,,,Spain Women's,863,00:43:59.941,Pass,
,,,,,,,,,,,,,,,,,,2.350225,,,,,,,,,,,,,8723f066-080b-406f-ad22-b6b7356706f0,3141,,"[120.0, 0.1]",3906390,89,,,,,1.6858417,eb4229cc-4b57-4f94-9ddb-cc86be1894d4,Right Foot,,,,"[114.8, 45.1]",,High Pass,True,45.29945,,,,Alexia Putellas Segura,True,,True,Inswinging,,Corner,2,From Corner,Teresa Abelleira Dueñas,49835.0,Center Defensive Midfield,172,Spain Women's,863,['01b7f345-ab73-4180-b1e5-1c4edf3b5e00'],56,,,,,,,,,,,,,,,Spain Women's,863,00:44:56.262,Pass,
,,,,,,,,,,,,,,,,,,0.582784,,,,,,,,,,,,,b370dab7-fd5a-4fef-93f3-d0524df77719,3154,,"[82.6, 40.3]",3906390,90,,True,,,1.9631364,,Right Foot,,,,"[79.0, 49.0]",,Ground Pass,,9.415413,,,,Ona Batlle Pascual,,,,,,,2,From Corner,Jennifer Hermoso Fuentes,10151.0,Center Forward,172,Spain Women's,863,['61b78780-61bd-4e44-a989-64623fb7adb5'],7,,,,,,,,,,,,,,,Spain Women's,863,00:45:07.008,Pass,
,,,,,,,,,,,,,,,,,,1.60899,,,,,,,,,,,,,0b37c226-655f-49ff-a0c2-fc47c11f4dce,3156,,"[72.4, 58.6]",3906390,90,,True,,,-0.09661456,,Right Foot,,,,"[95.1, 56.4]",,Ground Pass,,22.806358,,,,Alexia Putellas Segura,,,,,,,2,From Corner,Ona Batlle Pascual,46639.0,Right Back,172,Spain Women's,863,['7fd5ea3a-d7fe-47f0-ae62-29bcb2ed7c5f'],7,,,,,,,,,,,,,,,Spain Women's,863,00:45:07.611,Pass,
,,,,,,,,,,,,,,,,,,0.885213,,,,,,,,,,,,,c1c96444-d335-4490-a05d-64d5caa84c4c,3160,,"[91.1, 66.0]",3906390,90,,,,,1.4831097,,Left Foot,,,,"[91.9, 75.1]",,Ground Pass,,9.1350975,,,,Ona Batlle Pascual,,,,,,,2,From Corner,Alexia Putellas Segura,10143.0,Left Center Midfield,172,Spain Women's,863,['32207228-5b3e-459c-b317-47c448d241d7'],12,,,,,,,,,,,,,,,Spain Women's,863,00:45:12.700,Pass,
,,,,,,,,,,,,,,,,,,1.122455,,,,,,,,,,,,,36bf39df-17af-467d-9c76-d18fc9abb7af,3164,,"[93.6, 75.7]",3906390,90,,,,,-0.7853982,,Right Foot,,,,"[105.4, 63.9]",,Ground Pass,,16.68772,,,,Aitana Bonmati Conca,,,,,,,2,From Corner,Ona Batlle Pascual,46639.0,Right Back,172,Spain Women's,863,"['c5e21f42-d84c-49af-8d80-5ee8aebb69d6', 'f5f69e6c-38c8-470e-b03e-5eafca922cb7']",13,,,,,,,,,,,,,,,Spain Women's,863,00:45:13.696,Pass,True
,,,,,,,,,,,,,,,,,,1.017424,,,,,,,,,,,,,70ccdddf-0556-47f5-bac5-6ff9745d70fb,3172,,"[102.3, 66.1]",3906390,90,,,,,-2.8323936,,Left Foot,,,,"[95.1, 63.8]",,Ground Pass,,7.558439,,,,Alexia Putellas Segura,,,,,,,2,From Corner,Aitana Bonmati Conca,15284.0,Right Center Midfield,172,Spain Women's,863,['af79e520-83ba-4073-861c-cd9710089f7a'],17,,,,,,,,,,,,,,,Spain Women's,863,00:45:17.616,Pass,
,,,,,,,,,,,,,,,,,,1.058595,,,,,,,,,,,,,077e27a0-441e-4983-94cf-5696952a9643,3176,,"[96.3, 64.6]",3906390,90,,,,,0.0519014,,Right Foot,,,,"[104.0, 65.0]",,Ground Pass,,7.7103825,,,,Ona Batlle Pascual,,,,,,,2,From Corner,Alexia Putellas Segura,10143.0,Left Center Midfield,172,Spain Women's,863,"['1756915e-de0e-455e-9422-7400bfda9672', 'b69d42f2-10e6-4715-9a5d-a3b0fa8dfdd8']",19,,,,,,,,,,,,,,,Spain Women's,863,00:45:19.969,Pass,True
,,,,,,,,,,,,,,,,,,0.669933,,,,,,,,,,,,,61c3573c-a21a-4ee4-9eaf-532e4cdffa2f,3179,,"[108.1, 77.3]",3906390,90,,,,,-2.155674,,Right Foot,,,,"[103.2, 69.9]",,Ground Pass,,8.875246,,,,Alexia Putellas Segura,,,,,,,2,From Corner,Ona Batlle Pascual,46639.0,Right Back,172,Spain Women's,863,['23842d74-b8ca-4dff-a293-0234146593d1'],23,,,,,,,,,,,,,,,Spain Women's,863,00:45:23.696,Pass,
