Name,Shape Detail,Event Detail,Minute,H_A
Ethan Pinnock,Goal,1 - 0,26,H
Diogo Jota,Goal,1-1,30,A
Ethan Pinnock,Substitution,Zanka,42,H
Frank Onyeka,Yellow card,,43,H
Mohamed Salah,Goal,1-2,53,A
Vitaly Janelt,Goal,2-2,62,H
Curtis Jones,Goal,2-3,66,A
Andrew Robertson,Yellow card,,69,A
Frank Onyeka,Substitution,Shandon Baptiste,71,H
Curtis Jones,Substitution,Roberto Firmino,71,A
Yoane Wissa,Goal,3-3,81,H
Christian N¿rgaard,Substitution,Yoane Wissa,81,H
