"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"ST","2023-08-26","81.1","1.97","5.81","Acuña Jr., Ronald",660670,640455,,"ball",,,,,13,"Ronald Acuna Jr.  singles on a line drive to right fielder Luis Matos.","R","R","L","SF","ATL","B",,,1,2,2023,"-0.88","0.08","-0.91","0.75",,,,0,3,"Top",,,,,672275,,,-4.806221545059544,-118.0135401625124,-4.935173913855587,-7.368624655488769,21.120895803125944,-30.702729896645668,"3.37","1.43",,,,"81.9",2117,"6.7",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.83",,,,,,,,18,5,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",290,"0","0.039"
"FF","2023-08-26","93.9","-2.09","6.51","Acuña Jr., Ronald",660670,592426,"field_out","hit_into_play",,,,,5,"Ronald Acuna Jr.  flies out to center fielder Austin Slater.","R","R","R","SF","ATL","X",8,"fly_ball",1,0,2023,"-0.42","1.24","-0.1","2.64",,,,0,7,"Top",147.07,61.42,,,672275,,,6.124205664976544,-136.51070185227283,-7.126123173020944,-6.50288837769866,27.515712413748375,-15.239290860978867,"3.49","1.59",345,"97.8",37,"94.9",1908,"6.8",716848,592426,672275,605204,642731,669477,657557,671218,596103,682641,"53.75",0.177,0.372,"0",1,0,0,3,54,2,"4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard",206,"0.014","-0.273"
"FF","2023-08-26","94.9","1.95","5.58","Acuña Jr., Ronald",660670,640455,,"foul",,,,,6,"Ronald Acuna Jr.  singles on a line drive to right fielder Luis Matos.","R","R","L","SF","ATL","S",,,1,2,2023,"1.46","0.61","0.6","2.42",,,,0,3,"Top",,,,,672275,,,-6.887752137681151,-138.09104372691502,-4.069156790633964,20.23734457804403,28.17944260859063,-23.626091443871097,"3.49","1.59",210,"76.1",35,"96.4",1993,"7",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.55",,,,,,,,18,4,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",118,"0","0"
"SL","2023-08-26","87.4","-2.36","6.38","Acuña Jr., Ronald",660670,592426,,"ball",,,,,13,"Ronald Acuna Jr.  flies out to center fielder Austin Slater.","R","R","R","SF","ATL","B",,,0,0,2023,"-0.05","-0.35","-0.24","0.67",,,,0,7,"Top",,,,,672275,,,5.276184845123403,-127.23615514384292,-7.020119909815326,-1.5223630967427804,22.322316043033666,-34.989198881032685,"3.34","1.52",,,,"88.6",2041,"6.7",716848,592426,672275,605204,642731,669477,657557,671218,596103,682641,"53.82",,,,,,,,54,1,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",20,"0","0.037"
"CH","2023-08-26","85.1","2.01","5.88","Acuña Jr., Ronald",660670,640455,,"foul",,,,,8,"Ronald Acuna Jr.  singles on a line drive to right fielder Luis Matos.","R","R","L","SF","ATL","S",,,1,1,2023,"1.07","0.4","0.21","1.51",,,,0,3,"Top",,,,,672275,,,-6.389791288498123,-123.85008294023065,-4.837629360370934,12.201865534415724,22.181514903968544,-27.276298013134575,"3.49","1.59",,,,"86",1664,"6.6",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.9",,,,,,,,18,3,"Changeup",0,1,1,0,1,0,1,0,"Standard","Standard",130,"0","-0.053"
"FF","2023-08-26","93.2","1.92","5.67","Acuña Jr., Ronald",660670,640455,,"called_strike",,,,,3,"Ronald Acuna Jr.  singles on a line drive to right fielder Luis Matos.","R","R","L","SF","ATL","S",,,1,0,2023,"1.22","1.16","0.63","3.09",,,,0,3,"Top",,,,,672275,,,-6.072568935677015,-135.56684721012346,-3.461932980533888,16.31762907507494,28.512569485021388,-17.33859098184001,"3.31","1.4",,,,"94.3",2040,"6.9",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.64",,,,,,,,18,2,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",132,"0","-0.047"
"CH","2023-08-26","84.8","2.14","5.92","Acuña Jr., Ronald",660670,640455,,"ball",,,,,12,"Ronald Acuna Jr.  singles on a line drive to right fielder Luis Matos.","R","R","L","SF","ATL","B",,,0,0,2023,"0.94","0.34","1.89","2.51",,,,0,3,"Top",,,,,672275,,,-2.469204629736823,-123.56859361704156,-2.39099643268744,10.157690096648865,22.072856265551987,-28.393645376063,"3.28","1.4",,,,"85.4",1697,"6.3",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"54.16",,,,,,,,18,1,"Changeup",0,1,1,0,1,0,1,0,"Standard","Standard",132,"0","0.037"
"SL","2023-08-26","83.8","-3.36","5.39","Acuña Jr., Ronald",660670,676254,"strikeout","swinging_strike",,,,,14,"Ronald Acuna Jr.  strikes out swinging.","R","R","R","SF","ATL","S",2,,1,2,2023,"1.52","0.21","1.72","1.56",,,,0,1,"Top",,,,,672275,,,8.695901464760826,-121.84224206383277,-2.820774185592361,13.369179042779821,24.702251182969363,-29.682322247816106,"3.49","1.59",,,,"83.4",2503,"6.1",716848,676254,672275,605204,642731,669477,657557,671218,596103,682641,"54.37",,,"0",1,0,0,,1,4,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",56,"0.022","-0.173"
"SL","2023-08-26","83","-3.47","5.31","Acuña Jr., Ronald",660670,676254,,"swinging_strike",,,,,14,"Ronald Acuna Jr.  strikes out swinging.","R","R","R","SF","ATL","S",,,1,1,2023,"1.68","-0.04","1.62","0.57",,,,0,1,"Top",,,,,672275,,,8.295720899200244,-120.57748126467362,-4.256302148059532,14.808096525575023,23.577916247703474,-31.877651954449867,"3.49","1.59",,,,"82.4",2463,"6",716848,676254,672275,605204,642731,669477,657557,671218,596103,682641,"54.49",,,,,,,,1,3,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",59,"0","-0.053"
"SL","2023-08-26","81.9","-3.42","5.35","Acuña Jr., Ronald",660670,676254,,"ball",,,,,14,"Ronald Acuna Jr.  strikes out swinging.","R","R","R","SF","ATL","B",,,0,1,2023,"1.49","-0.17","1.75","-0.23",,,,0,1,"Top",,,,,672275,,,8.73665204451337,-118.93525453958193,-5.6039072953697815,12.246300103060133,24.75069793412488,-32.80264650760172,"3.45","1.44",,,,"81.1",2518,"6.1",716848,676254,672275,605204,642731,669477,657557,671218,596103,682641,"54.43",,,,,,,,1,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",60,"0","0.027"
