GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,42000213,67,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,5,58,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,51,94,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,69,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,5,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-125,225,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,73,201933,Blake Griffin,1610612751,Brooklyn Nets,1,5,20,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-203,163,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,82,1629651,Nicolas Claxton,1610612751,Brooklyn Nets,1,4,48,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-18,46,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,86,203925,Joe Harris,1610612751,Brooklyn Nets,1,4,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,195,174,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,88,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,4,30,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,9,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,89,202681,Kyrie Irving,1610612751,Brooklyn Nets,1,4,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-1,190,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,90,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,3,55,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,12,143,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,91,201142,Kevin Durant,1610612751,Brooklyn Nets,1,3,45,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-25,142,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,93,200782,P.J. Tucker,1610612749,Milwaukee Bucks,1,3,37,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,245,55,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,95,202681,Kyrie Irving,1610612751,Brooklyn Nets,1,3,32,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,106,242,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,109,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,2,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,11,279,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,112,1628455,Mike James,1610612751,Brooklyn Nets,1,2,29,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,145,226,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,114,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,2,21,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,116,250,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,115,201142,Kevin Durant,1610612751,Brooklyn Nets,1,2,10,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,102,243,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,117,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,1,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,81,146,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,119,1628455,Mike James,1610612751,Brooklyn Nets,1,1,38,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-84,131,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,121,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,1,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,31,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,132,201142,Kevin Durant,1610612751,Brooklyn Nets,1,1,8,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-34,94,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,138,201142,Kevin Durant,1610612751,Brooklyn Nets,1,0,35,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,12,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,139,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,0,30,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-51,276,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,141,1628455,Mike James,1610612751,Brooklyn Nets,1,0,13,Missed Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,15,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,157,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,11,45,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-131,122,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,160,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,11,17,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-66,116,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,165,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,10,56,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-25,250,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,167,1629013,Landry Shamet,1610612751,Brooklyn Nets,2,10,48,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,32,264,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,169,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,10,29,Missed Shot,Fadeaway Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,34,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,171,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,10,17,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,13,260,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,173,201572,Brook Lopez,1610612749,Milwaukee Bucks,2,10,8,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,166,218,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,175,1629013,Landry Shamet,1610612751,Brooklyn Nets,2,9,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-177,217,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,177,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,9,31,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,22,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,188,1628971,Bruce Brown,1610612751,Brooklyn Nets,2,9,12,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-40,126,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,190,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,8,58,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,17,180,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,192,1628971,Bruce Brown,1610612751,Brooklyn Nets,2,8,49,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-39,96,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,194,200782,P.J. Tucker,1610612749,Milwaukee Bucks,2,8,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-122,235,1,0,20210610,MIL,BKN
