Region,Life Expectancy - Interpolated,Year,Quadrant Region,African Region,Rank,Country Name
Americas,74.190002,2000,Americas,,72,Country 72
Americas,71.260002,2008,Americas,,44,Country 44
Europe,72.790001,2006,Europe,,49,Country 49
Africa,56.169998,2008,Africa,Central Africa,45,Country 45
Europe,67.25,2005,Asia and Oceania,,56,Country 56
Americas,71.910004,2011,Americas,,73,Country 73
Europe,77.5,2010,Europe,,74,Country 74
Africa,60.27,2013,Africa,Western Africa,38,Country 38
Europe,77.139999,1997,Europe,,37,Country 37
Europe,73.199997,2006,Europe,,75,Country 75
Americas,56.009998,1998,Americas,,77,Country 77
Africa,64.019997,2015,Africa,Western Africa,78,Country 78
Africa,58.560001,2008,Africa,Central Africa,79,Country 79
Western Pacific,81.559998,2002,Asia and Oceania,,80,Country 80
Africa,48.66,2000,Africa,Eastern Africa,81,Country 81
Americas,77.540001,2004,Americas,,20,Country 20
Europe,69.559998,2013,Asia and Oceania,,19,Country 19
Africa,57.84,2007,Africa,Central Africa,79,Country 79
South-East Asia,70.339996,2011,Asia and Oceania,,9,Country 9
Africa,61.59,2015,Africa,Eastern Africa,81,Country 81
Europe,78.650002,1997,Europe,,82,Country 82
Africa,54.889999,2000,Africa,Western Africa,78,Country 78
Western Pacific,83.440002,2013,Asia and Oceania,,80,Country 80
Eastern Mediterranean,66.68,2016,Asia and Oceania,,83,Country 83
Africa,52.950001,2007,Africa,Eastern Africa,63,Country 63
Americas,80.269997,2009,Americas,,7,Country 7
Europe,72.900002,2011,Europe,,84,Country 84
Eastern Mediterranean,76.910004,2002,Asia and Oceania,,85,Country 85
Europe,76.57,2011,Europe,,61,Country 61
Western Pacific,63.830002,2006,Asia and Oceania,,86,Country 86
Americas,73.330002,2002,Americas,,87,Country 87
Eastern Mediterranean,79.949997,2015,Asia and Oceania,,60,Country 60
Americas,73.370003,2003,Americas,,87,Country 87
Americas,75.010002,2014,Americas,,88,Country 88
Africa,46.810001,2004,Africa,Eastern Africa,89,Country 89
Eastern Mediterranean,75.900002,2013,Asia and Oceania,,90,Country 90
Americas,74.830002,2006,Americas,,91,Country 91
Africa,63.560001,2001,Africa,Western Africa,5,Country 5
Europe,73.419998,1998,Europe,,67,Country 67
South-East Asia,63.77,2004,Asia and Oceania,,92,Country 92
Africa,61.279999,2010,Africa,Eastern Africa,93,Country 93
Europe,81.459999,2008,Europe,,94,Country 94
Europe,83.089996,2014,Europe,,95,Country 95
Americas,77.699997,2005,Americas,,20,Country 20
Europe,81.019997,2013,Europe,,97,Country 97
Eastern Mediterranean,76.839996,2010,Africa,Northern Africa,98,Country 98
Africa,62.68,2002,Africa,Eastern Africa,99,Country 99
Americas,77.940002,2010,Americas,,100,Country 100
Europe,69.290001,2012,Asia and Oceania,,19,Country 19
Americas,75.470001,2016,Americas,,101,Country 101
Europe,81.260002,2011,Europe,,102,Country 102
South-East Asia,67.540001,2004,Asia and Oceania,,40,Country 40
Europe,80.970001,2016,Europe,,66,Country 66
Americas,73.489998,2006,Americas,,87,Country 87
Europe,80.730003,2008,Europe,,102,Country 102
South-East Asia,76.300003,2012,Asia and Oceania,,3,Country 3
Africa,64.639999,2016,Africa,Central Africa,103,Country 103
Eastern Mediterranean,76.68,2009,Africa,Northern Africa,98,Country 98
Africa,62.360001,2001,Africa,Eastern Africa,99,Country 99
Americas,77.870003,2009,Americas,,100,Country 100
Europe,81.25,2014,Europe,,97,Country 97
Americas,78.940002,2014,Americas,,20,Country 20
Europe,67.550003,2007,Asia and Oceania,,19,Country 19
Europe,82.120003,2016,Europe,,104,Country 104
Western Pacific,73.669998,2012,Asia and Oceania,,105,Country 105
Europe,71.440002,1999,Europe,,28,Country 28
Africa,58.82,2001,Africa,Central Africa,11,Country 11
Americas,78.739998,2006,Americas,,15,Country 15
Europe,80.57,2013,Europe,,16,Country 16
Africa,65.43,2015,Africa,Western Africa,12,Country 12
South-East Asia,65.949997,2001,Asia and Oceania,,40,Country 40
Europe,80.82,2014,Europe,,37,Country 37
Europe,78.660004,2006,Europe,,106,Country 106
Eastern Mediterranean,73.470001,2005,Asia and Oceania,,107,Country 107
Africa,54.849998,2002,Africa,Western Africa,108,Country 108
Europe,81.919998,2013,Europe,,33,Country 33
Americas,75.699997,2009,Americas,,109,Country 109
Eastern Mediterranean,70.93,1997,Asia and Oceania,,52,Country 52
Eastern Mediterranean,74.790001,2003,Africa,Northern Africa,32,Country 32
Europe,67.099998,2005,Europe,,110,Country 110
Europe,78.290001,2001,Europe,,111,Country 111
Western Pacific,71.779999,2004,Asia and Oceania,,112,Country 112
Africa,58.970001,1998,Africa,Western Africa,113,Country 113
Africa,57.98,2010,Africa,Western Africa,114,Country 114
Western Pacific,72.330002,2007,Asia and Oceania,,105,Country 105
Africa,53.919998,2006,Africa,Western Africa,115,Country 115
Europe,75.300003,2012,Europe,,28,Country 28
Eastern Mediterranean,62.52,2005,Asia and Oceania,,30,Country 30
Europe,77.449997,1998,Europe,,16,Country 16
Africa,56.400002,2004,Africa,Western Africa,31,Country 31
Europe,78.139999,2001,Europe,,116,Country 116
Eastern Mediterranean,65.830002,2007,Asia and Oceania,,83,Country 83
Africa,71.889999,2003,Africa,Eastern Africa,117,Country 117
Europe,79.589996,2005,Europe,,118,Country 118
Africa,58.470001,2006,Africa,Eastern Africa,119,Country 119
Eastern Mediterranean,73.110001,2005,Asia and Oceania,,120,Country 120
Americas,77.82,2011,Americas,,121,Country 121
Africa,62.889999,2016,Africa,Central Africa,79,Country 79
Africa,63.639999,2009,Africa,Western Africa,113,Country 113
Africa,57.110001,2013,Africa,Western Africa,122,Country 122
Africa,54.119999,1997,Africa,Western Africa,114,Country 114
Africa,52.849998,2001,Africa,Southern Africa,10,Country 10
Americas,77.449997,2006,Americas,,121,Country 121
Western Pacific,77.32,2003,Asia and Oceania,,124,Country 124
Europe,78.510002,2000,Europe,,104,Country 104
Europe,80.57,2012,Europe,,116,Country 116
Africa,63.75,2011,Africa,Eastern Africa,119,Country 119
Western Pacific,80.150002,2002,Asia and Oceania,,125,Country 125
Africa,61.389999,2004,Africa,Western Africa,113,Country 113
Europe,80.290001,2008,Europe,,118,Country 118
Western Pacific,69.25,1998,Asia and Oceania,,112,Country 112
Eastern Mediterranean,67.489998,2010,Asia and Oceania,,83,Country 83
Europe,64.209999,2002,Asia and Oceania,,126,Country 126
Americas,74.529999,2011,Americas,,101,Country 101
Eastern Mediterranean,74.82,2008,Asia and Oceania,,120,Country 120
Africa,69.18,2013,Africa,Western Africa,127,Country 127
Europe,74.349998,2002,Europe,,128,Country 128
Africa,46.889999,2009,Africa,Central Africa,129,Country 129
Eastern Mediterranean,68.019997,2012,Asia and Oceania,,130,Country 130
Eastern Mediterranean,76.239998,2012,Asia and Oceania,,131,Country 131
Europe,75.32,1998,Europe,,132,Country 132
Europe,71.620003,1999,Europe,,84,Country 84
Americas,76.580002,2008,Americas,,133,Country 133
Europe,80.199997,2001,Europe,,134,Country 134
Eastern Mediterranean,72.980003,2001,Asia and Oceania,,90,Country 90
Europe,73.110001,1999,Europe,,61,Country 61
Europe,80.400002,2002,Europe,,95,Country 95
Africa,58.200001,2015,Africa,Eastern Africa,135,Country 135
Europe,80.269997,2003,Europe,,94,Country 94
Americas,72.93,2005,Americas,,88,Country 88
Africa,72.93,1997,Africa,Northern Africa,48,Country 48
South-East Asia,68.099998,2015,Asia and Oceania,,92,Country 92
Americas,68.989998,1997,Americas,,44,Country 44
Africa,52.48,1997,Africa,Eastern Africa,68,Country 68
Africa,65.519997,2010,Africa,Western Africa,5,Country 5
Africa,59.369999,2015,Africa,Eastern Africa,89,Country 89
Americas,74.839996,2013,Americas,,91,Country 91
Africa,50.849998,1999,Africa,Southern Africa,50,Country 50
Western Pacific,69.169998,2012,Asia and Oceania,,137,Country 137
Africa,53.060001,2001,Africa,Eastern Africa,93,Country 93
Americas,71.919998,1999,Americas,,101,Country 101
Africa,55.5,1997,Africa,Central Africa,45,Country 45
Africa,50.16,2016,Africa,Central Africa,129,Country 129
Americas,69.82,2005,Americas,,138,Country 138
Eastern Mediterranean,75.169998,2005,Africa,Northern Africa,32,Country 32
Africa,73.559998,2015,Africa,Eastern Africa,139,Country 139
Europe,81.699997,2011,Europe,,33,Country 33
Africa,44.240002,1999,Africa,Eastern Africa,39,Country 39
Europe,74.699997,2003,Europe,,67,Country 67
Africa,59.93,2011,Africa,Eastern Africa,68,Country 68
Americas,76.419998,2010,Americas,,71,Country 71
South-East Asia,70.019997,2016,Asia and Oceania,,36,Country 36
Western Pacific,68,2015,Asia and Oceania,,140,Country 140
Europe,66.32,2000,Asia and Oceania,,14,Country 14
Africa,52.759998,2003,Africa,Central Africa,141,Country 141
Africa,48.959999,1998,Africa,Western Africa,13,Country 13
Americas,78.220001,2009,Americas,,142,Country 142
Americas,75.900002,2014,Americas,,143,Country 143
Africa,60.040001,2010,Africa,Central Africa,103,Country 103
Eastern Mediterranean,70.489998,2008,Africa,Northern Africa,144,Country 144
Europe,77.18,2004,Europe,,132,Country 132
Western Pacific,70.099998,2016,Asia and Oceania,,137,Country 137
Europe,66.279999,1999,Asia and Oceania,,19,Country 19
Eastern Mediterranean,65.959999,2000,Asia and Oceania,,145,Country 145
Americas,76.949997,2011,Americas,,146,Country 146
Americas,80.870003,2008,Americas,,147,Country 147
Europe,80.470001,2002,Europe,,134,Country 134
Europe,67.480003,2002,Europe,,29,Country 29
Africa,56.439999,2012,Africa,Western Africa,13,Country 13
South-East Asia,70.190002,2011,Asia and Oceania,,27,Country 27
Africa,53.970001,2012,Africa,Eastern Africa,135,Country 135
Americas,76.790001,2011,Americas,,133,Country 133
Europe,78.970001,1998,Europe,,94,Country 94
Africa,54.450001,2000,Africa,Central Africa,45,Country 45
Americas,69.550003,2000,Americas,,44,Country 44
Africa,73.849998,2000,Africa,Northern Africa,48,Country 48
Europe,75.839996,2008,Europe,,67,Country 67
Western Pacific,74.669998,2012,Asia and Oceania,,46,Country 46
Americas,74.93,2001,Americas,,71,Country 71
Africa,52.849998,2000,Africa,Eastern Africa,68,Country 68
Europe,74.75,2014,Europe,,49,Country 49
Africa,54.299999,2006,Africa,Eastern Africa,47,Country 47
Africa,46.060001,2002,Africa,Southern Africa,50,Country 50
Europe,72.029999,2003,Europe,,51,Country 51
Europe,71.260002,2014,Asia and Oceania,,53,Country 53
Americas,73,2015,Americas,,73,Country 73
Europe,67.57,2001,Europe,,110,Country 110
Americas,74.129997,1999,Americas,,70,Country 70
Europe,78.639999,2014,Europe,,74,Country 74
Africa,58.110001,2009,Africa,Western Africa,38,Country 38
Europe,71.379997,2002,Europe,,75,Country 75
Western Pacific,68.410004,2015,Asia and Oceania,,86,Country 86
Eastern Mediterranean,78.900002,2011,Asia and Oceania,,85,Country 85
Europe,71.949997,2002,Europe,,84,Country 84
Europe,81.639999,2016,Europe,,111,Country 111
Eastern Mediterranean,71.150002,1998,Asia and Oceania,,52,Country 52
Europe,82.089996,2014,Europe,,33,Country 33
Europe,78.099998,2001,Europe,,37,Country 37
South-East Asia,71.870003,2014,Asia and Oceania,,40,Country 40
Eastern Mediterranean,74.339996,2000,Africa,Northern Africa,32,Country 32
South-East Asia,68.769997,2007,Asia and Oceania,,40,Country 40
Europe,79.879997,2008,Europe,,37,Country 37
South-East Asia,66.019997,2005,Asia and Oceania,,43,Country 43
Eastern Mediterranean,66.269997,2010,Africa,Northern Africa,22,Country 22
Americas,77.330002,2012,Americas,,25,Country 25
Europe,68.730003,2005,Europe,,23,Country 23
South-East Asia,72.330002,2001,Asia and Oceania,,26,Country 26
Europe,78.790001,2006,Europe,,24,Country 24
Africa,60.75,2008,Africa,Eastern Africa,148,Country 148
Europe,76.540001,2012,Europe,,149,Country 149
Western Pacific,71.589996,2004,Asia and Oceania,,105,Country 105
Europe,67.599998,2005,Europe,,29,Country 29
Africa,51.799999,2013,Africa,Southern Africa,65,Country 65
Europe,76.620003,1999,Europe,,106,Country 106
Africa,55.700001,2011,Africa,Western Africa,13,Country 13
Europe,74.290001,2012,Europe,,64,Country 64
Europe,79.269997,2003,Europe,,66,Country 66
South-East Asia,70.510002,2012,Asia and Oceania,,27,Country 27
Americas,75.43,2016,Americas,,72,Country 72
Western Pacific,62.34,2008,Asia and Oceania,,17,Country 17
Europe,69.510002,2010,Asia and Oceania,,56,Country 56
South-East Asia,63.450001,1997,Asia and Oceania,,40,Country 40
Western Pacific,81.480003,2016,Asia and Oceania,,150,Country 150
Africa,73.339996,2010,Africa,Eastern Africa,117,Country 117
Africa,62.720001,2013,Africa,Western Africa,108,Country 108
Europe,79.550003,2009,Europe,,106,Country 106
Europe,77.580002,2016,Europe,,75,Country 75
Eastern Mediterranean,75.949997,2010,Asia and Oceania,,107,Country 107
Africa,53.130001,2004,Africa,Western Africa,122,Country 122
Europe,72.449997,2006,Europe,,84,Country 84
Eastern Mediterranean,79.779999,2015,Asia and Oceania,,85,Country 85
Western Pacific,77.959999,1998,Asia and Oceania,,150,Country 150
Europe,75.290001,2006,Europe,,61,Country 61
Americas,74.370003,2001,Americas,,109,Country 109
Western Pacific,66.690002,2011,Asia and Oceania,,86,Country 86
Eastern Mediterranean,75.309998,2002,Asia and Oceania,,60,Country 60
Europe,68.540001,2002,Europe,,151,Country 151
Africa,52.470001,2001,Africa,Western Africa,115,Country 115
Americas,67.57,1997,Americas,,138,Country 138
Africa,63.380001,2014,Africa,Southern Africa,152,Country 152
Europe,67.949997,1999,Europe,,23,Country 23
Americas,69.339996,1997,Americas,,153,Country 153
Americas,76.040001,2011,Americas,,109,Country 109
Europe,70.449997,2012,Europe,,154,Country 154
Europe,79.699997,2000,Europe,,33,Country 33
Eastern Mediterranean,74.370003,2014,Africa,Northern Africa,32,Country 32
Africa,45.310001,1997,Africa,Eastern Africa,2,Country 2
Americas,74.269997,2010,Americas,,101,Country 101
Europe,78.75,2001,Europe,,104,Country 104
Western Pacific,80.370003,2003,Asia and Oceania,,125,Country 125
Americas,80.050003,2004,Americas,,147,Country 147
Africa,68.849998,2012,Africa,Western Africa,127,Country 127
Africa,56.889999,2006,Africa,Central Africa,103,Country 103
Eastern Mediterranean,67.82,2012,Asia and Oceania,,145,Country 145
Western Pacific,76.790001,2002,Asia and Oceania,,124,Country 124
Europe,64.510002,2003,Asia and Oceania,,126,Country 126
Americas,75.989998,2007,Americas,,146,Country 146
Europe,78.779999,2008,Europe,,132,Country 132
Eastern Mediterranean,70.059998,2004,Africa,Northern Africa,144,Country 144
Europe,79.830002,2002,Europe,,57,Country 57
Africa,53.130001,2004,Africa,Western Africa,115,Country 115
Europe,81.120003,2015,Europe,,58,Country 58
Eastern Mediterranean,75.309998,1998,Asia and Oceania,,155,Country 155
Eastern Mediterranean,64.559998,2012,Africa,Eastern Africa,59,Country 59
Europe,78.769997,1998,Europe,,82,Country 82
Africa,55.720001,2004,Africa,Central Africa,79,Country 79
Western Pacific,83.690002,2014,Asia and Oceania,,80,Country 80
Africa,62.610001,1998,Africa,Western Africa,127,Country 127
Africa,58.599998,2012,Africa,Eastern Africa,81,Country 81
Western Pacific,69.010002,2011,Asia and Oceania,,137,Country 137
Africa,55.57,2003,Africa,Western Africa,78,Country 78
Eastern Mediterranean,73.239998,2000,Asia and Oceania,,130,Country 130
Europe,78.139999,2000,Europe,,111,Country 111
Americas,78.779999,1998,Americas,,147,Country 147
Eastern Mediterranean,74.400002,2000,Asia and Oceania,,131,Country 131
Americas,73.410004,1997,Americas,,146,Country 146
Europe,77.269997,2014,Europe,,128,Country 128
Eastern Mediterranean,69,1998,Africa,Northern Africa,144,Country 144
Eastern Mediterranean,78.260002,2005,Asia and Oceania,,155,Country 155
Africa,60.02,2016,Africa,Eastern Africa,63,Country 63
Africa,60.310001,2012,Africa,Western Africa,156,Country 156
Americas,71.25,2005,Americas,,153,Country 153
Europe,73.800003,2010,Europe,,157,Country 157
Europe,79.510002,2010,Europe,,158,Country 158
Americas,73.970001,2009,Americas,,159,Country 159
Europe,65.129997,2002,Europe,,154,Country 154
Europe,77.389999,1997,Europe,,97,Country 97
Europe,66.5,2006,Asia and Oceania,,14,Country 14
Europe,77.040001,2016,Europe,,149,Country 149
Europe,70.540001,1999,Europe,,75,Country 75
South-East Asia,66.980003,1999,Asia and Oceania,,27,Country 27
Americas,79.559998,2015,Americas,,100,Country 100
Africa,64.690002,2007,Africa,Eastern Africa,99,Country 99
Eastern Mediterranean,77.330002,2015,Africa,Northern Africa,98,Country 98
Europe,79.809998,2008,Europe,,97,Country 97
Europe,82.029999,2014,Europe,,102,Country 102
Europe,79.5,2005,Europe,,111,Country 111
Americas,74.440002,1999,Americas,,159,Country 159
Eastern Mediterranean,61.459999,2001,Africa,Eastern Africa,59,Country 59
Europe,82.910004,2015,Europe,,57,Country 57
Europe,77.629997,2002,Europe,,58,Country 58
Africa,57.91,2010,Africa,Western Africa,35,Country 35
Europe,79.870003,2010,Europe,,106,Country 106
Europe,72.099998,2016,Europe,,110,Country 110
Africa,59.360001,2014,Africa,Western Africa,108,Country 108
Eastern Mediterranean,75.540001,2009,Asia and Oceania,,107,Country 107
Europe,79.870003,2006,Europe,,118,Country 118
Europe,78.389999,2002,Europe,,116,Country 116
Africa,64.040001,2010,Africa,Western Africa,113,Country 113
Africa,54.220001,1998,Africa,Western Africa,114,Country 114
Eastern Mediterranean,73.769997,2006,Asia and Oceania,,120,Country 120
Africa,57.43,2005,Africa,Eastern Africa,119,Country 119
Americas,77.519997,2008,Americas,,121,Country 121
Eastern Mediterranean,64.5,2004,Asia and Oceania,,83,Country 83
Western Pacific,81.480003,2013,Asia and Oceania,,150,Country 150
Africa,56.330002,2000,Africa,Western Africa,31,Country 31
Americas,77.349998,2008,Americas,,160,Country 160
Europe,73.93,2008,Europe,,28,Country 28
Eastern Mediterranean,62.759998,2001,Asia and Oceania,,30,Country 30
Europe,72.230003,2001,Europe,,161,Country 161
Americas,70.400002,2003,Americas,,153,Country 153
Eastern Mediterranean,66.830002,2014,Asia and Oceania,,30,Country 30
Americas,72.389999,2009,Americas,,153,Country 153
Americas,76.559998,1998,Americas,,15,Country 15
Europe,77.93,2016,Europe,,61,Country 61
Europe,73.620003,2007,Europe,,28,Country 28
Europe,73.919998,2016,Europe,,84,Country 84
Africa,54.009998,2003,Africa,Central Africa,62,Country 62
Africa,62.060001,2015,Africa,Western Africa,31,Country 31
Africa,52.139999,2003,Africa,Southern Africa,162,Country 162
Africa,59.139999,2014,Africa,Western Africa,114,Country 114
Western Pacific,69.940002,2000,Asia and Oceania,,112,Country 112
Americas,76.709999,2016,Americas,,109,Country 109
Americas,74.620003,2003,Americas,,109,Country 109
Africa,62.439999,2016,Africa,Southern Africa,162,Country 162
Africa,50.43,1997,Africa,Western Africa,38,Country 38
South-East Asia,72.620003,2016,Asia and Oceania,,40,Country 40
Europe,74.739998,2001,Asia and Oceania,,4,Country 4
South-East Asia,61.959999,2002,Asia and Oceania,,36,Country 36
Western Pacific,82.970001,2011,Asia and Oceania,,125,Country 125
Europe,81.269997,2009,Europe,,104,Country 104
Africa,54.439999,2000,Africa,Western Africa,108,Country 108
Africa,65.209999,2004,Africa,Western Africa,127,Country 127
Americas,73.239998,2016,Americas,,73,Country 73
Eastern Mediterranean,74.440002,2007,Asia and Oceania,,107,Country 107
Europe,68.370003,2011,Asia and Oceania,,126,Country 126
Eastern Mediterranean,74.82,2002,Asia and Oceania,,163,Country 163
Western Pacific,80.25,2010,Asia and Oceania,,124,Country 124
Europe,77.910004,2004,Europe,,106,Country 106
Americas,72.730003,2002,Americas,,101,Country 101
Americas,74.150002,2010,Americas,,88,Country 88
Americas,73.919998,2002,Americas,,91,Country 91
South-East Asia,74.379997,2010,Asia and Oceania,,3,Country 3
Europe,82.019997,2012,Europe,,94,Country 94
Africa,44.720001,2000,Africa,Eastern Africa,89,Country 89
South-East Asia,62.290001,2000,Asia and Oceania,,92,Country 92
Africa,64.620003,2014,Africa,Eastern Africa,93,Country 93
Africa,64.25,2005,Africa,Western Africa,5,Country 5
Western Pacific,72.730003,1998,Asia and Oceania,,46,Country 46
Europe,66.559998,2004,Asia and Oceania,,14,Country 14
Africa,47.700001,1999,Africa,Eastern Africa,135,Country 135
Eastern Mediterranean,79.550003,2011,Asia and Oceania,,60,Country 60
Africa,62.59,2016,Africa,Western Africa,31,Country 31
South-East Asia,66.480003,1997,Asia and Oceania,,27,Country 27
Europe,73.639999,2015,Europe,,84,Country 84
Western Pacific,60.75,2002,Asia and Oceania,,86,Country 86
Europe,77.75,2015,Europe,,61,Country 61
Eastern Mediterranean,77.089996,2006,Asia and Oceania,,85,Country 85
Africa,59.18,2015,Africa,Central Africa,141,Country 141
South-East Asia,71.660004,2016,Asia and Oceania,,27,Country 27
Americas,74.889999,2002,Americas,,143,Country 143
Americas,77.57,2005,Americas,,142,Country 142
Western Pacific,63.299999,2003,Asia and Oceania,,140,Country 140
Europe,73.620003,1999,Europe,,149,Country 149
Europe,76.849998,2012,Europe,,128,Country 128
Eastern Mediterranean,74.809998,2002,Asia and Oceania,,131,Country 131
Americas,73.980003,1999,Americas,,146,Country 146
Africa,52.799999,1998,Africa,Central Africa,103,Country 103
Eastern Mediterranean,76.370003,2014,Asia and Oceania,,90,Country 90
Eastern Mediterranean,73.900002,2002,Asia and Oceania,,130,Country 130
Europe,82.800003,2013,Europe,,95,Country 95
Africa,61.68,2016,Africa,Western Africa,38,Country 38
Europe,78.230003,1998,Europe,,66,Country 66
Americas,75.279999,2011,Americas,,72,Country 72
Eastern Mediterranean,57.84,2015,Asia and Oceania,,69,Country 69
Eastern Mediterranean,72.07,2001,Asia and Oceania,,107,Country 107
Americas,76.029999,2012,Americas,,70,Country 70
Europe,77.459999,2002,Europe,,106,Country 106
Europe,63.950001,1997,Asia and Oceania,,53,Country 53
Africa,58.650002,2006,Africa,Western Africa,108,Country 108
Africa,50.310001,2016,Africa,Southern Africa,50,Country 50
Europe,78.269997,2010,Asia and Oceania,,4,Country 4
South-East Asia,66.199997,2009,Asia and Oceania,,36,Country 36
Americas,78.269997,2016,Americas,,160,Country 160
Africa,74.459999,2015,Africa,Eastern Africa,117,Country 117
Americas,74.82,2012,Americas,,87,Country 87
Europe,75.849998,2016,Europe,,64,Country 64
Africa,52.52,2001,Africa,Western Africa,122,Country 122
Africa,50.950001,1998,Africa,Western Africa,156,Country 156
Eastern Mediterranean,61.970001,2005,Africa,Eastern Africa,59,Country 59
Europe,79.269997,2006,Europe,,58,Country 58
Europe,82.18,2011,Europe,,57,Country 57
Eastern Mediterranean,73.980003,2006,Asia and Oceania,,90,Country 90
Eastern Mediterranean,71.669998,1999,Asia and Oceania,,107,Country 107
Europe,78.620003,2000,Europe,,66,Country 66
Americas,72.860001,1999,Americas,,87,Country 87
Europe,81.279999,2005,Europe,,95,Country 95
Africa,53.59,2014,Africa,Southern Africa,65,Country 65
Europe,75.550003,2015,Europe,,64,Country 64
Africa,54.650002,1997,Africa,Western Africa,78,Country 78
Africa,54.459999,2008,Africa,Western Africa,122,Country 122
Africa,61.41,2011,Africa,Central Africa,8,Country 8
Americas,61.580002,2012,Americas,,77,Country 77
Africa,72.470001,2006,Africa,Eastern Africa,117,Country 117
Europe,74.82,2016,Europe,,161,Country 161
Europe,79.120003,2000,Europe,,82,Country 82
Europe,80.980003,2011,Europe,,111,Country 111
Western Pacific,79.400002,1999,Asia and Oceania,,41,Country 41
Western Pacific,61.639999,1997,Asia and Oceania,,140,Country 140
Africa,59.049999,2004,Africa,Western Africa,164,Country 164
Europe,78.419998,1998,Europe,,102,Country 102
Americas,75.43,2015,Americas,,87,Country 87
Eastern Mediterranean,74.599998,1999,Africa,Northern Africa,98,Country 98
Americas,74.120003,1999,Americas,,100,Country 100
Europe,67.559998,2007,Europe,,154,Country 154
Americas,65.610001,1997,Americas,,73,Country 73
Americas,72.589996,2015,Americas,,138,Country 138
Africa,71.949997,2005,Africa,Eastern Africa,139,Country 139
Eastern Mediterranean,76.669998,2015,Asia and Oceania,,107,Country 107
Africa,59.73,2008,Africa,Western Africa,108,Country 108
Africa,50.700001,1997,Africa,Western Africa,13,Country 13
Europe,66.470001,2003,Asia and Oceania,,14,Country 14
Europe,80.580002,2012,Europe,,106,Country 106
Europe,71.279999,1999,Europe,,64,Country 64
Africa,52.16,1998,Africa,Southern Africa,65,Country 65
Americas,77.809998,2014,Americas,,160,Country 160
Western Pacific,80.989998,2011,Asia and Oceania,,150,Country 150
Eastern Mediterranean,63.630001,2010,Africa,Eastern Africa,59,Country 59
Europe,79.949997,2009,Europe,,58,Country 58
Europe,80.989998,2016,Europe,,24,Country 24
Europe,73.290001,2007,Europe,,161,Country 161
Europe,80.25,2004,Europe,,57,Country 57
Eastern Mediterranean,71.949997,2004,Africa,Northern Africa,55,Country 55
Europe,70.830002,2005,Europe,,54,Country 54
Africa,49.439999,2000,Africa,Eastern Africa,2,Country 2
Europe,78.639999,2001,Asia and Oceania,,34,Country 34
Europe,79.309998,1997,Europe,,33,Country 33
Africa,50.689999,2009,Africa,Eastern Africa,39,Country 39
Europe,71.510002,2015,Asia and Oceania,,56,Country 56
Eastern Mediterranean,74.959999,2013,Asia and Oceania,,52,Country 52
Africa,57.470001,2006,Africa,Western Africa,78,Country 78
Africa,56.009998,2009,Africa,Eastern Africa,81,Country 81
Western Pacific,82.660004,2011,Asia and Oceania,,80,Country 80
Europe,81.739998,2016,Europe,,116,Country 116
Africa,53.66,2001,Africa,Central Africa,79,Country 79
Americas,74.849998,2009,Americas,,72,Country 72
Africa,59.169998,2002,Africa,Central Africa,11,Country 11
Americas,78.419998,2005,Americas,,15,Country 15
Europe,64.290001,1999,Asia and Oceania,,53,Country 53
Africa,63.709999,2012,Africa,Western Africa,12,Country 12
Eastern Mediterranean,57.669998,2013,Asia and Oceania,,69,Country 69
Americas,76.040001,2014,Americas,,70,Country 70
Europe,80.790001,2014,Europe,,16,Country 16
Europe,68.190002,2001,Europe,,151,Country 151
Africa,62.080002,2013,Africa,Southern Africa,152,Country 152
Europe,76.43,2011,Europe,,149,Country 149
Europe,76.290001,1999,Europe,,24,Country 24
Africa,62.299999,2015,Africa,Eastern Africa,148,Country 148
Western Pacific,68.160004,1999,Asia and Oceania,,137,Country 137
Africa,63.549999,2014,Africa,Southern Africa,10,Country 10
Europe,70.290001,2016,Asia and Oceania,,19,Country 19
Europe,65.260002,2005,Asia and Oceania,,126,Country 126
Western Pacific,77.910004,2004,Asia and Oceania,,124,Country 124
Europe,80.75,2007,Europe,,104,Country 104
South-East Asia,60.75,1999,Asia and Oceania,,36,Country 36
Western Pacific,80.970001,2005,Asia and Oceania,,125,Country 125
Americas,74.699997,2012,Americas,,101,Country 101
Africa,68.110001,2010,Africa,Western Africa,127,Country 127
Western Pacific,69.669998,2014,Asia and Oceania,,137,Country 137
Americas,71.110001,1997,Americas,,101,Country 101
Africa,55.5,2003,Africa,Western Africa,114,Country 114
Europe,77.489998,1999,Europe,,116,Country 116
Western Pacific,75.519997,2013,Asia and Oceania,,112,Country 112
Europe,78.339996,1997,Europe,,102,Country 102
Europe,65.459999,2004,Europe,,154,Country 154
Western Pacific,81.43,2007,Asia and Oceania,,41,Country 41
Europe,77.160004,2013,Europe,,18,Country 18
Americas,76.220001,1999,Americas,,142,Country 142
Africa,65.300003,2002,Africa,Central Africa,165,Country 165
Africa,57.599998,2000,Africa,Western Africa,164,Country 164
Africa,53.139999,2009,Africa,Southern Africa,162,Country 162
Africa,71.230003,1999,Africa,Eastern Africa,117,Country 117
Eastern Mediterranean,73.849998,1998,Asia and Oceania,,163,Country 163
Americas,73.910004,1998,Americas,,91,Country 91
Western Pacific,76.370003,2001,Asia and Oceania,,124,Country 124
Africa,69.860001,2015,Africa,Western Africa,127,Country 127
