title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe,Date_Use
Morning workout ☀️,"22 Sep 2023, 11:02","22 Sep 2023, 11:47","",Lying Leg Raise,,"",2,normal,,10,,,,2023-09-22
Morning workout ☀️,"22 Sep 2023, 11:02","22 Sep 2023, 11:47","",Bicycle Crunch,,"",0,normal,,40,,,,2023-09-22
Morning workout ☀️,"22 Sep 2023, 11:02","22 Sep 2023, 11:47","",Bicycle Crunch,,"",1,normal,,40,,,,2023-09-22
Morning workout ☀️,"22 Sep 2023, 11:02","22 Sep 2023, 11:47","",Bicycle Crunch,,"",2,normal,,40,,,,2023-09-22
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Treadmill,,"",0,normal,,,0.5,180,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Treadmill,,"",1,normal,,,0.5,180,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Treadmill,,"",2,normal,,,0.5,180,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Treadmill,,"",3,normal,,,0.5,180,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Treadmill,,"",4,normal,,,0.5,180,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Treadmill,,"",5,normal,,,0.5,180,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Treadmill,,"",6,normal,,,0.5,180,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Bench Press (Dumbbell),,"",0,normal,12.5,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Bench Press (Dumbbell),,"",1,normal,20,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Bench Press (Dumbbell),,"",2,normal,25,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Bench Press (Dumbbell),,"",3,normal,25,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Bench Press (Dumbbell),,"",4,normal,25,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Bench Press (Dumbbell),,"",5,normal,25,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Lateral Raise (Dumbbell),,"",0,normal,7.5,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Lateral Raise (Dumbbell),,"",1,normal,10,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Lateral Raise (Dumbbell),,"",2,normal,10,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Lateral Raise (Dumbbell),,"",3,normal,10,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Lateral Raise (Dumbbell),,"",4,normal,10,10,,,,2023-09-20
Afternoon workout 💪,"20 Sep 2023, 14:33","20 Sep 2023, 15:08","",Lateral Raise (Dumbbell),,"",5,normal,10,10,,,,2023-09-20
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Lat Pulldown (Cable),,"",0,warmup,27.5,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Lat Pulldown (Cable),,"",1,normal,35,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Lat Pulldown (Cable),,"",2,normal,40,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Lat Pulldown (Cable),,"",3,normal,40,10,,,,2023-09-19
