event_use,order ,event_id,event_type,result,success,period_id,timestamp,end_timestamp,ball_state,ball_owning_team,team_id,player_id,coordinates_x,coordinates_y,end_coordinates_x,end_coordinates_y,receiver_player_id,set_piece_type,body_part_type,pass_type,card_type
,,d17f5955-cb86-4370-adf1-fdf2c4e12f33,CARRY,COMPLETE,TRUE,1,43.634,43.674,alive,1214,1214,8298,79.15,2.65,79.35,2.35,,,,,
,,cebd7ade-323e-416c-8eda-42317466fe80,PASS,COMPLETE,TRUE,1,43.674,45.062619,alive,1214,1214,8298,79.35,2.35,68.65,5.05,5088,,RIGHT_FOOT,,
,,dbc4e838-1be0-4d91-82d6-368a47265f9c,GENERIC:Ball Receipt*,,,1,45.063,,alive,1214,1214,5088,68.65,5.05,,,,,,,
,,65fbf830-a887-403b-b4e2-5c948c469ab4,CARRY,COMPLETE,TRUE,1,45.063,45.984681,alive,1214,1214,5088,68.65,5.05,62.25,7.55,,,,,
,,95c28c56-3755-4908-bde1-5ea186d14eff,PASS,COMPLETE,TRUE,1,45.984,47.2353,alive,1214,1214,5088,62.25,7.55,45.95,5.45,5030,,RIGHT_FOOT,,
,,deffc310-67d8-4fa2-ac1b-5a3932396385,GENERIC:Ball Receipt*,,,1,47.236,,alive,1214,1214,5030,45.95,5.45,,,,,,,
,,b73c8c41-ced1-4f33-98f5-7aa88cd4d6c5,CARRY,COMPLETE,TRUE,1,47.236,48.4615,alive,1214,1214,5030,45.95,5.45,42.75,12.35,,,,,
,,ca981be9-42fe-4b2d-b8a0-8f96a28a2de1,PASS,COMPLETE,TRUE,1,48.461,49.717988,alive,1214,1214,5030,42.75,12.35,37.35,42.05,5081,,RIGHT_FOOT,,
,,5a1f7847-5053-461b-9ec1-1c3187789f51,GENERIC:Ball Receipt*,,,1,49.718,,alive,1214,1214,5081,37.35,42.05,,,,,,,
,,cab8f280-59c5-4009-b381-ab8e1e4fd2b5,CARRY,COMPLETE,TRUE,1,49.718,53.813212,alive,1214,1214,5081,37.35,42.05,48.35,61.55,,,,,
,,463c8090-0740-49d6-af7b-19ad6257a29d,PASS,INCOMPLETE,FALSE,1,53.813,56.3399,alive,1214,1214,5081,48.35,61.55,96.65,63.55,,,RIGHT_FOOT,LONG_BALL,
,,5b66b3f1-2077-4109-bf8a-9326ed926158,GENERIC:Ball Receipt*,,,1,56.34,,alive,1214,1214,5013,102.85,70.25,,,,,,,
,,d5fe4da1-8acb-408d-aab6-6a3427984bee,PASS,OUT,FALSE,1,56.34,58.608592,alive,1214,851,10647,24.25,17.35,41.55,0.95,,,HEAD,HEAD_PASS,
,,d5fe4da1-8acb-408d-aab6-6a3427984bee,BALL_OUT,,,1,56.34,,dead,1214,851,10647,41.55,0.95,,,,,,,
,,4b76686b-38a1-415e-88c6-e0948e1b8034,PASS,COMPLETE,TRUE,1,70.117,70.8329,alive,1214,1214,5021,80.05,79.95,77.65,68.55,4949,THROW_IN,,,
,,47f4b6ad-9210-46ba-8788-f27bd7562177,GENERIC:Ball Receipt*,,,1,70.833,,alive,1214,1214,4949,77.65,68.55,,,,,,,
,,864b009e-a126-400d-9ffa-63b7f516d261,CARRY,COMPLETE,TRUE,1,70.833,71.8224,alive,1214,1214,4949,77.65,68.55,77.65,68.55,,,,,
,,328fe0ca-edcd-4e6c-a526-41b1102481c2,PASS,COMPLETE,TRUE,1,71.822,72.3791,alive,1214,1214,4949,77.65,68.55,76.85,76.85,5021,,LEFT_FOOT,,
,,43093dae-e4fd-4983-96a1-7e9e55b4a807,GENERIC:Ball Receipt*,,,1,72.379,,alive,1214,1214,5021,76.85,76.85,,,,,,,
,,880da250-1263-4b41-8d4c-2e838130fbf0,CARRY,COMPLETE,TRUE,1,72.379,73.2076,alive,1214,1214,5021,76.85,76.85,77.65,75.05,,,,,
,,7349fbd8-20a0-4d84-a0fc-7630df0be810,GENERIC:Pressure,,,1,73.06,,alive,1214,851,10649,41.15,4.45,,,,,,,
,,050cf1a5-7bd0-480c-a076-dee52dc41349,PASS,COMPLETE,TRUE,1,73.208,73.9347,alive,1214,1214,5021,77.65,75.05,69.25,66.85,6811,,LEFT_FOOT,,
,,30428fae-f05a-45b0-b0b5-0a611f4da865,GENERIC:Ball Receipt*,,,1,73.935,,alive,1214,1214,6811,69.25,66.85,,,,,,,
,,7887a75a-129e-427d-812a-b55b15e1a9e8,CARRY,COMPLETE,TRUE,1,73.935,74.055,alive,1214,1214,6811,69.25,66.85,69.25,66.85,,,,,
,,35b909f3-187e-4577-b503-f56e7e227a26,PASS,INCOMPLETE,FALSE,1,74.055,76.5034,alive,1214,1214,6811,69.25,66.85,83.95,75.65,,,RIGHT_FOOT,HIGH_PASS,
,,83c90d2e-1055-479a-a3b7-f51f5d9385d5,GENERIC:Ball Receipt*,,,1,76.503,,alive,1214,1214,5013,83.45,75.65,,,,,,,
,,ea984292-a595-4ad9-869c-4cb056a3153c,GENERIC:Interception,,,1,76.503,,alive,1214,851,10666,36.95,5.25,,,,,,,
