Player X,Player Y,player,team,Recipient X,Recipient Y,Recipient,period
54.6,48.9125,Georgia Stanway,"England Women's",58.0333333333333,73.2533333333333,Lucy Bronze,1
75.5,64.5,Jill Scott,"England Women's",58.9666666666667,67.3733333333333,Lucy Bronze,2
75.5,64.5,Jill Scott,"England Women's",32,48.0642857142857,Millie Bright,2
61.675,65.15,Jill Scott,"England Women's",50.92,70.62,Lucy Bronze,3
73.0666666666667,47.3333333333333,Jill Scott,"England Women's",83.65,53.125,Chloe Kelly,4
73.0666666666667,47.3333333333333,Jill Scott,"England Women's",78.46,72.85,Lucy Bronze,4
49.13125,34.4875,Keira Walsh,"England Women's",54.6,48.9125,Georgia Stanway,1
49.13125,34.4875,Keira Walsh,"England Women's",42.4285714285714,24.6095238095238,Leah Williamson,1
49.13125,34.4875,Keira Walsh,"England Women's",58.0333333333333,73.2533333333333,Lucy Bronze,1
49.13125,34.4875,Keira Walsh,"England Women's",38.025,58.325,Millie Bright,1
49.13125,34.4875,Keira Walsh,"England Women's",54.0375,11.05,Rachel Daly,1
54.4263157894737,32.9368421052632,Keira Walsh,"England Women's",84.0333333333333,16.4666666666667,Alex Greenwood,2
54.4263157894737,32.9368421052632,Keira Walsh,"England Women's",37.3130434782609,23.5173913043478,Leah Williamson,2
54.4263157894737,32.9368421052632,Keira Walsh,"England Women's",58.9666666666667,67.3733333333333,Lucy Bronze,2
54.4263157894737,32.9368421052632,Keira Walsh,"England Women's",11.4636363636364,42.4545454545455,Mary Alexandra Earps,2
54.4263157894737,32.9368421052632,Keira Walsh,"England Women's",32,48.0642857142857,Millie Bright,2
45.175,45.625,Keira Walsh,"England Women's",56.9666666666667,27.4333333333333,Alessia Russo,3
45.175,45.625,Keira Walsh,"England Women's",38.4666666666667,27.4666666666667,Leah Williamson,3
45.175,45.625,Keira Walsh,"England Women's",50.92,70.62,Lucy Bronze,3
74.1666666666667,33.2666666666667,Keira Walsh,"England Women's",92.42,40.04,Alessia Russo,4
74.1666666666667,33.2666666666667,Keira Walsh,"England Women's",80.5285714285714,55.0285714285714,Ella Toone,4
74.1666666666667,33.2666666666667,Keira Walsh,"England Women's",78.46,72.85,Lucy Bronze,4
74.1666666666667,33.2666666666667,Keira Walsh,"England Women's",42.6,53.04,Millie Bright,4
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",94.9625,38.7125,Bethany Mead,1
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",92.7333333333333,51.5166666666667,Ellen White,1
