Server	Sets	Games	Points	Commentary
Andy Roddick	1‑1	5‑6	40‑30	1st serve to body,  fault (net). 2nd serve wide; backhand slice return crosscourt; backhand crosscourt; backhand down the line (net),  unforced error.
				
Roger Federer	1‑1	6‑6	0‑0	1st serve wide,  fault (wide). 2nd serve down the T; backhand return down the middle; forehand crosscourt; forehand down the middle,  forced error.
Andy Roddick	1‑1	6‑6	0‑1	1st serve down the T; forehand chip/slice return down the middle; forehand inside-out; backhand slice crosscourt; forehand inside-in; forehand down the line; backhand crosscourt; backhand slice down the middle; forehand crosscourt; forehand down the middle (long),  unforced error. (9-shot rally)
Andy Roddick	1‑1	6‑6	1‑1	1st serve wide,  fault (net). 2nd serve to body; forehand chip/slice return crosscourt; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the middle; backhand crosscourt; backhand slice crosscourt; backhand slice down the line (net),  unforced error. (8-shot rally)
Roger Federer	1‑1	6‑6	2‑1	1st serve down the T,  fault (long). 2nd serve wide; backhand return down the middle; forehand down the middle; backhand inside-out; forehand crosscourt,  winner. (5-shot rally)
Roger Federer	1‑1	6‑6	3‑1	1st serve wide; forehand return down the line,  forced error.
Andy Roddick	1‑1	6‑6	1‑4	1st serve wide; backhand slice return crosscourt; backhand down the middle; forehand crosscourt; forehand crosscourt,  forced error. (4-shot rally)
Andy Roddick	1‑1	6‑6	1‑5	1st serve down the T,  fault (wide and long). 2nd serve to body; backhand slice return inside-in; backhand crosscourt; backhand slice down the middle; forehand down the middle,  winner. (5-shot rally)
Roger Federer	1‑1	6‑6	5‑2	1st serve wide; backhand return down the middle; forehand down the middle; forehand inside-out,  winner. (4-shot rally)
Roger Federer	1‑1	6‑6	5‑3	1st serve wide; forehand return crosscourt; forehand down the line; backhand down the line; forehand crosscourt; forehand down the line; backhand slice crosscourt; backhand slice down the line; forehand crosscourt,  winner. (9-shot rally)
Andy Roddick	1‑1	6‑6	3‑6	1st serve down the T; forehand return down the middle; forehand crosscourt; forehand chip/slice down the line,  forced error.
Andy Roddick	1‑1	6‑6	4‑6	1st serve down the T; backhand slice return down the middle,  forced error.
Roger Federer	1‑1	6‑6	6‑5	1st serve wide; backhand slice return down the middle; forehand crosscourt,  winner.
				
Andy Roddick	1‑2	0‑0	0‑0	1st serve wide,  ace.
Andy Roddick	1‑2	0‑0	15‑0	1st serve to body,  fault (net). 2nd serve wide; backhand slice return crosscourt; backhand crosscourt; backhand down the middle; forehand down the middle (net),  unforced error. (4-shot rally)
Andy Roddick	1‑2	0‑0	15‑15	1st serve wide; forehand chip/slice return down the line; backhand crosscourt; backhand slice down the line,  forced error.
Andy Roddick	1‑2	0‑0	30‑15	1st serve down the T,  fault (net). 2nd serve wide; backhand slice return crosscourt; backhand down the middle; forehand down the middle; backhand down the middle; forehand down the middle; forehand down the middle; forehand inside-out,  winner. (8-shot rally)
Andy Roddick	1‑2	0‑0	30‑30	1st serve wide,  service winner.
Andy Roddick	1‑2	0‑0	40‑30	1st serve wide,  fault (wide and long). 2nd serve down the T; forehand return down the middle; backhand crosscourt; backhand slice down the line; forehand crosscourt; forehand down the line; backhand down the middle; backhand slice crosscourt; backhand crosscourt; backhand slice down the middle (long),  unforced error. (9-shot rally)
				
Roger Federer	2‑1	0‑1	0‑0	1st serve down the T,  ace.
Roger Federer	2‑1	0‑1	15‑0	1st serve wide,  fault (wide). 2nd serve wide; backhand return down the line; forehand down the line,  forced error.
Roger Federer	2‑1	0‑1	15‑15	1st serve down the T,  fault (wide and long). 2nd serve to body,  fault (long),  double fault.
Roger Federer	2‑1	0‑1	15‑30	1st serve wide; backhand return down the middle; forehand crosscourt,  winner.
Roger Federer	2‑1	0‑1	30‑30	1st serve down the T,  fault (wide). 2nd serve down the T; backhand return inside-out; forehand crosscourt; forehand crosscourt; forehand down the middle; forehand inside-out; backhand crosscourt; backhand down the middle; backhand down the middle; backhand inside-out (wide),  unforced error. (9-shot rally)
Roger Federer	2‑1	0‑1	40‑30	1st serve wide,  fault (net). 2nd serve wide; backhand return crosscourt; backhand down the middle; forehand inside-out (long),  unforced error.
				
Andy Roddick	1‑2	1‑1	0‑0	1st serve wide,  fault (wide and long). 2nd serve to body; forehand return crosscourt,  forced error.
Andy Roddick	1‑2	1‑1	15‑0	1st serve down the T; forehand return down the middle; forehand crosscourt; forehand down the middle; backhand inside-out,  winner. (5-shot rally)
Andy Roddick	1‑2	1‑1	30‑0	1st serve down the T; backhand slice return down the middle,  forced error.
Andy Roddick	1‑2	1‑1	40‑0	1st serve down the T; forehand chip/slice return inside-out,  forced error.
				
Roger Federer	2‑1	1‑2	0‑0	1st serve down the T,  fault (net). 2nd serve to body; backhand return down the middle; backhand down the middle; backhand crosscourt; backhand down the middle (net),  unforced error. (4-shot rally)
Roger Federer	2‑1	1‑2	0‑15	1st serve wide; backhand return crosscourt,  forced error.
Roger Federer	2‑1	1‑2	15‑15	1st serve wide; forehand chip/slice return crosscourt; forehand crosscourt; forehand down the middle; forehand down the middle; backhand crosscourt; backhand slice crosscourt (net),  unforced error. (6-shot rally)
Roger Federer	2‑1	1‑2	15‑30	1st serve down the T,  fault (long). 2nd serve to body; backhand return down the middle; forehand down the middle; backhand slice crosscourt; forehand inside-out; backhand volley down the line,  winner. (6-shot rally)
Roger Federer	2‑1	1‑2	15‑40	1st serve down the T,  ace.
Roger Federer	2‑1	1‑2	30‑40	1st serve down the T,  fault (long). 2nd serve to body; backhand return down the middle; forehand inside-out; backhand crosscourt; backhand volley crosscourt; backhand down the line; forehand volley down the line,  forced error. (6-shot rally)
				
Andy Roddick	1‑2	3‑1	0‑0	1st serve wide; forehand chip/slice return down the middle; forehand chip/slice inside-out; backhand crosscourt (wide and long),  unforced error.
Andy Roddick	1‑2	3‑1	15‑0	1st serve wide,  fault (net). 2nd serve down the T; forehand return down the middle; forehand crosscourt (net),  unforced error.
Andy Roddick	1‑2	3‑1	15‑15	1st serve down the T,  service winner.
Andy Roddick	1‑2	3‑1	30‑15	1st serve down the T; forehand chip/slice return down the middle; forehand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line,  winner. (6-shot rally)
Andy Roddick	1‑2	3‑1	30‑30	1st serve to body; backhand slice return down the middle; forehand inside-out; backhand slice down the line; forehand crosscourt; forehand down the line (net),  unforced error. (5-shot rally)
Andy Roddick	1‑2	3‑1	40‑30	1st serve down the T,  fault (long). 2nd serve to body; backhand slice return crosscourt; backhand crosscourt; forehand inside-out; backhand crosscourt; backhand slice crosscourt; forehand inside-in; forehand down the line,  winner. (8-shot rally)
Andy Roddick	1‑2	3‑1	40‑40	1st serve to body; backhand slice return inside-in; backhand crosscourt; backhand half-volley down the middle; forehand crosscourt; forehand crosscourt; forehand half-volley down the line; backhand slice crosscourt,  forced error. (7-shot rally)
Andy Roddick	1‑2	3‑1	AD‑40	1st serve down the T; forehand chip/slice return down the middle; forehand crosscourt; forehand chip/slice crosscourt,  forced error.
				
Roger Federer	2‑1	1‑4	0‑0	1st serve down the T; backhand slice return down the middle; forehand crosscourt; forehand down the line; backhand volley crosscourt,  winner. (5-shot rally)
Roger Federer	2‑1	1‑4	15‑0	1st serve wide,  ace.
Roger Federer	2‑1	1‑4	30‑0	1st serve wide,  ace.
Roger Federer	2‑1	1‑4	40‑0	1st serve to body; forehand chip/slice return inside-out; forehand inside-in (long),  unforced error.
Roger Federer	2‑1	1‑4	40‑15	1st serve wide; forehand return down the line; backhand slice down the middle; forehand crosscourt,  winner. (4-shot rally)
Roger Federer	2‑1	1‑4	40‑30	1st serve down the T,  ace.
				
Andy Roddick	1‑2	4‑2	0‑0	1st serve down the T,  fault (wide). 2nd serve to body; backhand slice return inside-in,  forced error.
Andy Roddick	1‑2	4‑2	15‑0	1st serve down the T; forehand return inside-out,  forced error.
Andy Roddick	1‑2	4‑2	30‑0	1st serve down the T,  fault (wide). 2nd serve to body; backhand slice return inside-out; forehand down the line; backhand slice crosscourt; backhand slice down the line,  forced error. (4-shot rally)
Andy Roddick	1‑2	4‑2	30‑15	1st serve down the T,  fault (long). 2nd serve down the T,  fault (long),  double fault.
Andy Roddick	1‑2	4‑2	30‑30	1st serve down the T,  fault (long). 2nd serve to body; backhand slice return down the middle; forehand inside-out; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the line; forehand down the line; backhand crosscourt; backhand slice crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand slice crosscourt; backhand crosscourt; backhand down the middle; forehand inside-out; backhand slice crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand chip/slice crosscourt,  forced error. (21-shot rally)
Andy Roddick	1‑2	4‑2	40‑30	1st serve down the T,  ace.
				
Roger Federer	2‑1	2‑5	0‑0	1st serve down the T,  ace.
Roger Federer	2‑1	2‑5	15‑0	1st serve wide,  fault (long). 2nd serve wide; backhand return down the middle; forehand down the middle; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the middle; backhand down the middle; forehand crosscourt; forehand chip/slice down the line,  forced error. (9-shot rally)
Roger Federer	2‑1	2‑5	30‑0	1st serve down the T,  fault (wide). 2nd serve wide; forehand return crosscourt,  winner.
Roger Federer	2‑1	2‑5	30‑15	1st serve to body; backhand return down the middle; forehand crosscourt,  winner.
Roger Federer	2‑1	2‑5	40‑15	1st serve wide; forehand return crosscourt; forehand down the line,  winner.
				
Andy Roddick	1‑2	5‑3	0‑0	1st serve down the T; backhand slice return crosscourt; backhand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line; backhand crosscourt; forehand down the middle; forehand crosscourt,  forced error. (8-shot rally)
Andy Roddick	1‑2	5‑3	0‑15	1st serve down the T,  fault (net). 2nd serve down the T; forehand return down the middle; forehand crosscourt; forehand down the line,  winner. (4-shot rally)
Andy Roddick	1‑2	5‑3	0‑30	1st serve wide; backhand return down the middle; backhand crosscourt; backhand slice down the line,  forced error.
Andy Roddick	1‑2	5‑3	15‑30	1st serve down the T; forehand return down the middle; forehand down the middle; forehand down the middle; forehand inside-out; backhand slice down the middle; backhand inside-out; forehand chip/slice down the middle; forehand crosscourt; forehand down the middle (long),  unforced error. (9-shot rally)
Andy Roddick	1‑2	5‑3	30‑30	1st serve wide; forehand chip/slice return down the middle; forehand crosscourt; forehand crosscourt; forehand chip/slice down the middle; forehand crosscourt (net),  unforced error. (5-shot rally)
Andy Roddick	1‑2	5‑3	40‑30	1st serve wide,  service winner.
				
Roger Federer	2‑2	0‑0	0‑0	1st serve wide; forehand return down the middle,  forced error.
Roger Federer	2‑2	0‑0	15‑0	1st serve down the T,  fault (wide). 2nd serve to body; backhand return down the middle; forehand inside-out; backhand down the line; forehand volley crosscourt (net),  unforced error. (4-shot rally)
Roger Federer	2‑2	0‑0	15‑15	1st serve wide; forehand return crosscourt,  forced error.
Roger Federer	2‑2	0‑0	30‑15	1st serve down the T; forehand chip/slice return down the middle; forehand drop shot inside-out; backhand slice crosscourt,  forced error.
Roger Federer	2‑2	0‑0	40‑15	1st serve to body,  service winner.
				
Andy Roddick	2‑2	0‑1	0‑0	1st serve down the T,  fault (net). 2nd serve down the T; backhand slice return down the middle; backhand crosscourt; backhand slice crosscourt; forehand inside-out; backhand slice crosscourt; backhand down the middle; backhand slice crosscourt (long),  unforced error. (7-shot rally)
Andy Roddick	2‑2	0‑1	15‑0	1st serve down the T,  fault (net). 2nd serve wide; backhand slice return crosscourt; backhand crosscourt; backhand down the middle; backhand down the middle; forehand inside-out; backhand crosscourt; backhand down the middle; forehand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line; backhand slice crosscourt; backhand crosscourt; backhand down the line,  forced error. (14-shot rally)
Andy Roddick	2‑2	0‑1	15‑15	1st serve down the T,  fault (long). 2nd serve to body; backhand slice return inside-in; backhand crosscourt; backhand slice down the line; forehand volley crosscourt,  winner. (5-shot rally)
Andy Roddick	2‑2	0‑1	30‑15	1st serve down the T; forehand return inside-out; backhand crosscourt; forehand down the middle; backhand crosscourt; backhand down the middle; backhand down the middle; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the line; backhand slice down the middle; backhand crosscourt; backhand down the middle; backhand crosscourt; backhand slice down the middle; backhand inside-out; forehand crosscourt; forehand crosscourt (net),  unforced error. (18-shot rally)
Andy Roddick	2‑2	0‑1	30‑30	1st serve down the T,  fault (long). 2nd serve down the T; backhand slice return down the middle; forehand inside-out; backhand crosscourt,  winner. (4-shot rally)
Andy Roddick	2‑2	0‑1	30‑40	1st serve down the T; forehand chip/slice return inside-out,  forced error.
Andy Roddick	2‑2	0‑1	40‑40	1st serve down the T,  ace.
Andy Roddick	2‑2	0‑1	AD‑40	1st serve down the T; forehand chip/slice return down the middle; forehand inside-out; backhand slice crosscourt (net),  unforced error.
				
Roger Federer	2‑2	1‑1	0‑0	1st serve wide,  service winner.
Roger Federer	2‑2	1‑1	15‑0	1st serve wide; backhand return down the middle; forehand crosscourt,  forced error.
Roger Federer	2‑2	1‑1	15‑15	1st serve down the T,  fault (long). 2nd serve down the T; backhand return down the middle (long),  unforced error.
Roger Federer	2‑2	1‑1	30‑15	1st serve wide; backhand return down the line; forehand crosscourt,  winner.
Roger Federer	2‑2	1‑1	40‑15	1st serve wide,  fault (long). 2nd serve wide; forehand chip/slice return crosscourt (long),  unforced error.
				
Andy Roddick	2‑2	1‑2	0‑0	1st serve wide; forehand chip/slice return down the middle,  forced error.
Andy Roddick	2‑2	1‑2	15‑0	1st serve down the T; forehand return inside-out,  forced error.
Andy Roddick	2‑2	1‑2	30‑0	1st serve down the T; backhand slice return crosscourt; backhand crosscourt; backhand drop shot down the line (net),  unforced error.
Andy Roddick	2‑2	1‑2	40‑0	1st serve down the T; forehand return crosscourt,  forced error.
				
Roger Federer	2‑2	2‑2	0‑0	1st serve down the T,  ace.
Roger Federer	2‑2	2‑2	15‑0	1st serve wide,  fault (wide). 2nd serve to body; backhand return crosscourt; forehand inside-out,  winner.
Roger Federer	2‑2	2‑2	30‑0	1st serve down the T,  ace.
Roger Federer	2‑2	2‑2	40‑0	1st serve wide,  ace.
				
Andy Roddick	2‑2	2‑3	0‑0	1st serve down the T,  fault (net). 2nd serve down the T; backhand slice return down the middle; backhand crosscourt; backhand slice crosscourt; forehand inside-out; backhand slice crosscourt; backhand crosscourt (net),  unforced error. (6-shot rally)
Andy Roddick	2‑2	2‑3	0‑15	1st serve down the T; forehand chip/slice return inside-out; forehand inside-out,  winner.
Andy Roddick	2‑2	2‑3	15‑15	1st serve down the T,  fault (net). 2nd serve to body; forehand return crosscourt; forehand down the line; backhand slice crosscourt,  forced error.
Andy Roddick	2‑2	2‑3	30‑15	1st serve wide,  service winner.
Andy Roddick	2‑2	2‑3	40‑15	1st serve down the T,  fault (net). 2nd serve down the T; backhand return down the middle; backhand down the middle; forehand crosscourt,  winner. (4-shot rally)
Andy Roddick	2‑2	2‑3	40‑30	1st serve to body; forehand chip/slice return down the middle,  forced error.
				
Roger Federer	2‑2	3‑3	0‑0	1st serve down the T,  fault (net). 2nd serve down the T; backhand return down the middle; forehand down the middle; forehand crosscourt; forehand chip/slice crosscourt; forehand crosscourt; forehand down the line (long),  unforced error. (6-shot rally)
Roger Federer	2‑2	3‑3	0‑15	1st serve down the T; forehand return inside-out,  forced error.
Roger Federer	2‑2	3‑3	15‑15	1st serve down the T; backhand return down the middle; forehand inside-out,  winner.
Roger Federer	2‑2	3‑3	30‑15	1st serve down the T,  ace.
Roger Federer	2‑2	3‑3	40‑15	1st serve wide,  ace.
				
Andy Roddick	2‑2	3‑4	0‑0	1st serve down the T,  ace.
Andy Roddick	2‑2	3‑4	15‑0	1st serve down the T; forehand return down the middle; forehand down the middle; forehand crosscourt,  winner. (4-shot rally)
Andy Roddick	2‑2	3‑4	15‑15	1st serve to body,  service winner.
Andy Roddick	2‑2	3‑4	30‑15	1st serve to body; backhand slice return down the line,  forced error.
Andy Roddick	2‑2	3‑4	40‑15	1st serve down the T; backhand slice return crosscourt; backhand slice crosscourt; backhand down the line (net),  unforced error.
				
Roger Federer	2‑2	4‑4	0‑0	1st serve down the T,  fault (long). 2nd serve down the T; backhand return inside-out; forehand down the middle; backhand down the middle; forehand down the middle; forehand crosscourt; forehand down the line; backhand slice crosscourt,  forced error. (7-shot rally)
Roger Federer	2‑2	4‑4	15‑0	1st serve wide,  ace.
Roger Federer	2‑2	4‑4	30‑0	1st serve down the T,  ace.
Roger Federer	2‑2	4‑4	40‑0	1st serve down the T,  fault (long). 2nd serve down the T; forehand return down the middle; forehand inside-out; backhand down the line; forehand crosscourt (wide and long),  unforced error. (4-shot rally)
Roger Federer	2‑2	4‑4	40‑15	1st serve wide,  ace.
				
Andy Roddick	2‑2	4‑5	0‑0	1st serve down the T; backhand slice return crosscourt,  forced error.
Andy Roddick	2‑2	4‑5	15‑0	1st serve down the T; forehand return down the middle,  forced error.
Andy Roddick	2‑2	4‑5	30‑0	1st serve down the T,  ace.
Andy Roddick	2‑2	4‑5	40‑0	1st serve down the T,  fault (net). 2nd serve wide; backhand slice return down the middle; forehand inside-out,  winner.
				
Roger Federer	2‑2	5‑5	0‑0	1st serve down the T; backhand return down the middle,  forced error.
Roger Federer	2‑2	5‑5	15‑0	1st serve down the T,  ace.
Roger Federer	2‑2	5‑5	30‑0	1st serve down the T,  fault (long). 2nd serve to body; backhand return inside-in; backhand down the middle; backhand crosscourt,  forced error.
Roger Federer	2‑2	5‑5	40‑0	1st serve down the T,  fault (long). 2nd serve to body; backhand return crosscourt; forehand inside-out; backhand crosscourt; backhand slice crosscourt; backhand down the middle; forehand inside-out (long),  unforced error. (6-shot rally)
Roger Federer	2‑2	5‑5	40‑15	1st serve down the T,  ace.
				
Andy Roddick	2‑2	5‑6	0‑0	1st serve wide; forehand return crosscourt; forehand down the line,  winner.
Andy Roddick	2‑2	5‑6	15‑0	1st serve down the T,  fault (long). 2nd serve wide; backhand slice return crosscourt; backhand down the middle; backhand crosscourt; backhand down the line; forehand crosscourt; forehand down the middle; forehand crosscourt; forehand crosscourt; forehand volley down the line; backhand slice down the line; forehand half-volley crosscourt,  winner. (12-shot rally)
Andy Roddick	2‑2	5‑6	15‑15	1st serve wide; forehand return down the line,  forced error.
Andy Roddick	2‑2	5‑6	30‑15	1st serve wide,  ace.
Andy Roddick	2‑2	5‑6	40‑15	1st serve down the T; backhand return down the middle; forehand inside-out; backhand down the middle; forehand down the middle; forehand crosscourt; forehand down the line; backhand crosscourt; backhand down the line,  winner. (9-shot rally)
				
Roger Federer	2‑2	6‑6	0‑0	1st serve down the T; backhand return down the middle; forehand inside-out,  winner.
Roger Federer	2‑2	6‑6	15‑0	1st serve wide; backhand return crosscourt,  forced error.
Roger Federer	2‑2	6‑6	30‑0	1st serve wide,  fault (wide). 2nd serve to body; backhand return inside-out; forehand down the middle; forehand crosscourt; forehand crosscourt (wide),  unforced error. (4-shot rally)
Roger Federer	2‑2	6‑6	30‑15	1st serve wide,  fault (wide and long). 2nd serve wide; backhand return down the middle; forehand crosscourt; forehand crosscourt; forehand chip/slice down the middle; forehand down the middle,  winner. (6-shot rally)
Roger Federer	2‑2	6‑6	30‑30	1st serve wide; forehand chip/slice return down the middle; forehand inside-out,  winner.
Roger Federer	2‑2	6‑6	40‑30	1st serve wide,  fault (wide and long). 2nd serve wide; backhand return crosscourt (net),  unforced error.
				
Andy Roddick	2‑2	6‑7	0‑0	1st serve to body,  service winner.
Andy Roddick	2‑2	6‑7	15‑0	1st serve wide; backhand slice return down the middle; forehand inside-out (net),  unforced error.
Andy Roddick	2‑2	6‑7	15‑15	1st serve down the T; backhand slice return crosscourt; backhand crosscourt; backhand down the line (long),  unforced error.
Andy Roddick	2‑2	6‑7	30‑15	1st serve down the T; forehand return down the middle; forehand inside-out; backhand down the middle; forehand inside-out; backhand slice crosscourt; backhand crosscourt; backhand down the line; forehand crosscourt; forehand crosscourt,  forced error. (9-shot rally)
Andy Roddick	2‑2	6‑7	40‑15	1st serve wide; forehand return down the middle; backhand crosscourt (long),  unforced error.
Andy Roddick	2‑2	6‑7	40‑30	1st serve down the T,  fault (wide). 2nd serve to body; forehand return down the middle; backhand down the middle; forehand crosscourt (net),  unforced error.
				
Roger Federer	2‑2	7‑7	0‑0	1st serve wide; forehand return crosscourt; forehand crosscourt; forehand down the line; backhand slice crosscourt; backhand crosscourt; backhand slice crosscourt; backhand down the middle; forehand inside-out,  winner. (9-shot rally)
Roger Federer	2‑2	7‑7	15‑0	1st serve down the T,  fault (long). 2nd serve down the T,  fault (long),  double fault.
Roger Federer	2‑2	7‑7	15‑15	1st serve wide,  fault (net). 2nd serve to body; backhand return down the middle; forehand inside-out; backhand lob down the line; smash down the line,  winner. (5-shot rally)
Roger Federer	2‑2	7‑7	30‑15	1st serve down the T; forehand return down the middle; forehand down the middle; backhand crosscourt; backhand volley crosscourt,  winner. (5-shot rally)
Roger Federer	2‑2	7‑7	40‑15	1st serve wide,  ace.
				
Andy Roddick	2‑2	7‑8	0‑0	1st serve down the T,  ace.
Andy Roddick	2‑2	7‑8	15‑0	1st serve down the T; forehand chip/slice return inside-out,  forced error.
Andy Roddick	2‑2	7‑8	30‑0	1st serve wide; forehand return down the line; backhand crosscourt (net),  unforced error.
Andy Roddick	2‑2	7‑8	30‑15	1st serve down the T; forehand return down the middle,  forced error.
Andy Roddick	2‑2	7‑8	40‑15	1st serve down the T; backhand slice return down the middle; forehand inside-out; backhand slice crosscourt; forehand inside-out; backhand slice down the middle; forehand inside-out,  winner. (7-shot rally)
				
Roger Federer	2‑2	8‑8	0‑0	1st serve down the T; backhand return down the middle; forehand down the middle; forehand inside-out,  winner. (4-shot rally)
Roger Federer	2‑2	8‑8	0‑15	1st serve wide; backhand slice return down the middle; forehand down the middle; forehand chip/slice down the middle,  forced error.
Roger Federer	2‑2	8‑8	15‑15	1st serve to body,  fault (long). 2nd serve wide; forehand return down the line; backhand crosscourt; backhand slice crosscourt; forehand inside-in; forehand down the line; backhand slice crosscourt; backhand slice crosscourt; backhand half-volley crosscourt,  forced error. (8-shot rally)
Roger Federer	2‑2	8‑8	15‑30	1st serve down the T; forehand chip/slice return down the middle; forehand inside-out; backhand down the line,  winner. (4-shot rally)
Roger Federer	2‑2	8‑8	15‑40	1st serve wide; forehand chip/slice return down the middle,  forced error.
Roger Federer	2‑2	8‑8	30‑40	1st serve wide; backhand slice return down the middle; forehand swinging volley crosscourt,  winner.
Roger Federer	2‑2	8‑8	40‑40	1st serve wide; forehand return down the middle,  forced error.
Roger Federer	2‑2	8‑8	AD‑40	1st serve down the T,  fault (long). 2nd serve wide; backhand return down the middle; backhand crosscourt; backhand slice down the middle (long),  unforced error.
				
Andy Roddick	2‑2	8‑9	0‑0	1st serve wide; forehand chip/slice return down the middle; backhand crosscourt; backhand slice crosscourt; backhand crosscourt; backhand crosscourt (long),  unforced error. (5-shot rally)
Andy Roddick	2‑2	8‑9	15‑0	1st serve wide,  fault (wide). 2nd serve wide; backhand slice return crosscourt; backhand crosscourt; backhand down the line; forehand chip/slice down the middle; forehand swinging volley inside-out (net),  unforced error. (5-shot rally)
Andy Roddick	2‑2	8‑9	30‑0	1st serve down the T,  fault (net). 2nd serve down the T; backhand slice return crosscourt; backhand crosscourt; backhand slice crosscourt; backhand down the middle (net),  unforced error. (4-shot rally)
Andy Roddick	2‑2	8‑9	30‑15	1st serve wide; backhand slice return down the middle; forehand inside-out; backhand down the middle; forehand half-volley crosscourt,  winner. (5-shot rally)
Andy Roddick	2‑2	8‑9	40‑15	1st serve down the T; backhand slice return down the middle,  forced error.
				
Roger Federer	2‑2	9‑9	0‑0	1st serve wide; forehand return down the line; backhand down the line; forehand crosscourt; forehand down the middle (long),  unforced error. (4-shot rally)
Roger Federer	2‑2	9‑9	0‑15	1st serve down the T; forehand chip/slice return inside-out; forehand inside-out; backhand crosscourt,  forced error.
Roger Federer	2‑2	9‑9	15‑15	1st serve down the T,  fault (net). 2nd serve to body; backhand return down the middle; forehand inside-out,  winner.
Roger Federer	2‑2	9‑9	30‑15	1st serve wide,  ace.
Roger Federer	2‑2	9‑9	40‑15	1st serve wide,  fault (wide). 2nd serve down the T; backhand return crosscourt; forehand inside-in; forehand crosscourt; forehand down the line; backhand down the line,  winner. (6-shot rally)
Roger Federer	2‑2	9‑9	40‑30	1st serve wide,  ace.
				
Andy Roddick	2‑2	9‑10	0‑0	1st serve down the T; backhand slice return inside-out; forehand crosscourt; forehand crosscourt,  forced error.
Andy Roddick	2‑2	9‑10	15‑0	1st serve down the T; forehand return inside-out; backhand down the middle,  forced error.
Andy Roddick	2‑2	9‑10	15‑15	1st serve down the T; backhand slice return crosscourt; backhand down the line; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the line; backhand slice crosscourt,  forced error. (7-shot rally)
Andy Roddick	2‑2	9‑10	30‑15	1st serve wide,  ace.
Andy Roddick	2‑2	9‑10	40‑15	1st serve to body; backhand slice return down the middle,  forced error.
				
Roger Federer	2‑2	10‑10	0‑0	1st serve down the T,  fault (wide). 2nd serve to body; backhand return down the middle; forehand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line; backhand crosscourt; backhand down the middle; backhand down the middle; forehand crosscourt; forehand down the line,  winner. (11-shot rally)
Roger Federer	2‑2	10‑10	15‑0	1st serve wide,  fault (net). 2nd serve wide; backhand return crosscourt; backhand down the line; forehand down the line; backhand crosscourt; backhand slice down the middle; forehand inside-out; backhand down the middle; backhand down the middle; forehand crosscourt; forehand chip/slice down the line; backhand slice down the line; forehand crosscourt (wide),  unforced error. (12-shot rally)
Roger Federer	2‑2	10‑10	15‑15	1st serve down the T,  fault (wide). 2nd serve wide; forehand return down the middle; forehand inside-out; backhand lob down the line,  forced error.
Roger Federer	2‑2	10‑10	30‑15	1st serve down the T,  service winner.
Roger Federer	2‑2	10‑10	40‑15	1st serve down the T,  ace.
				
Andy Roddick	2‑2	10‑11	0‑0	1st serve down the T; backhand slice return crosscourt; backhand slice crosscourt; forehand inside-out; backhand down the middle; forehand down the middle; forehand inside-out; backhand slice crosscourt; backhand down the line; forehand crosscourt; forehand down the line; backhand slice crosscourt (long),  unforced error. (11-shot rally)
Andy Roddick	2‑2	10‑11	15‑0	1st serve wide,  ace.
Andy Roddick	2‑2	10‑11	30‑0	1st serve down the T,  fault (wide). 2nd serve wide; forehand return down the line; backhand down the middle; backhand down the middle; backhand crosscourt; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand crosscourt,  forced error. (8-shot rally)
Andy Roddick	2‑2	10‑11	30‑15	1st serve wide,  fault (wide and long). 2nd serve to body; backhand return down the middle,  forced error.
Andy Roddick	2‑2	10‑11	40‑15	1st serve wide; forehand chip/slice return down the middle; forehand crosscourt (wide),  unforced error.
Andy Roddick	2‑2	10‑11	40‑30	1st serve down the T,  fault (net). 2nd serve wide; backhand slice return crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt (wide),  unforced error. (4-shot rally)
Andy Roddick	2‑2	10‑11	40‑40	1st serve down the T; backhand slice return down the middle,  forced error.
Andy Roddick	2‑2	10‑11	AD‑40	1st serve down the T; forehand return crosscourt,  forced error.
				
Roger Federer	2‑2	11‑11	0‑0	1st serve down the T,  fault (net). 2nd serve to body; backhand return down the middle; forehand crosscourt; forehand down the middle; forehand crosscourt; forehand chip/slice down the line,  forced error. (5-shot rally)
Roger Federer	2‑2	11‑11	15‑0	1st serve down the T,  ace.
Roger Federer	2‑2	11‑11	30‑0	1st serve wide,  ace.
Roger Federer	2‑2	11‑11	40‑0	1st serve wide,  ace.
				
Andy Roddick	2‑2	11‑12	0‑0	1st serve down the T,  ace.
Andy Roddick	2‑2	11‑12	15‑0	1st serve down the T,  service winner.
Andy Roddick	2‑2	11‑12	30‑0	1st serve to body,  service winner.
