Server	Sets	Games	Points	Commentary
Andy Roddick	0‑0	5‑5	0‑0	1st serve wide; forehand return down the line; backhand down the middle (net),  unforced error.
Andy Roddick	0‑0	5‑5	0‑15	1st serve down the T,  fault (net). 2nd serve wide; backhand slice return down the middle; forehand crosscourt (long),  unforced error.
Andy Roddick	0‑0	5‑5	0‑30	1st serve to body,  service winner.
Andy Roddick	0‑0	5‑5	15‑30	1st serve down the T,  service winner.
Andy Roddick	0‑0	5‑5	30‑30	1st serve down the T,  fault (wide). 2nd serve down the T; backhand slice return inside-out; forehand crosscourt; forehand crosscourt; forehand down the line; backhand slice crosscourt; backhand crosscourt; forehand down the middle; backhand down the middle; forehand down the middle; backhand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line; backhand crosscourt; forehand down the middle; backhand inside-out; forehand chip/slice down the line; backhand slice down the line,  forced error. (18-shot rally)
Andy Roddick	0‑0	5‑5	30‑40	1st serve to body,  fault (long). 2nd serve to body; backhand slice return crosscourt,  forced error.
Andy Roddick	0‑0	5‑5	40‑40	1st serve down the T,  fault (net). 2nd serve to body; backhand slice return down the middle; forehand inside-out; backhand crosscourt; backhand volley down the line; forehand lob down the middle,  forced error. (5-shot rally)
Andy Roddick	0‑0	5‑5	AD‑40	1st serve down the T; forehand return down the middle; forehand inside-out; backhand slice down the middle; forehand chip/slice inside-out; backhand down the line,  winner. (6-shot rally)
Andy Roddick	0‑0	5‑5	40‑40	1st serve down the T; backhand slice return crosscourt; backhand slice crosscourt (net),  unforced error.
Andy Roddick	0‑0	5‑5	40‑AD	1st serve to body; backhand slice return down the middle,  forced error.
Andy Roddick	0‑0	5‑5	40‑40	1st serve wide; forehand return down the middle; backhand crosscourt; backhand slice crosscourt; backhand crosscourt; backhand slice crosscourt; backhand crosscourt; forehand inside-in; forehand down the middle; forehand inside-out; backhand down the line (net),  unforced error. (10-shot rally)
Andy Roddick	0‑0	5‑5	40‑AD	1st serve wide; backhand slice return crosscourt; forehand down the middle; backhand slice crosscourt; backhand slice crosscourt; forehand inside-in; forehand crosscourt; forehand down the line (long),  unforced error. (7-shot rally)
Andy Roddick	0‑0	5‑5	40‑40	1st serve to body; forehand chip/slice return crosscourt; forehand crosscourt; forehand crosscourt; forehand down the middle; forehand crosscourt,  winner. (6-shot rally)
Andy Roddick	0‑0	5‑5	40‑AD	1st serve down the T; forehand chip/slice return down the middle,  forced error.
Andy Roddick	0‑0	5‑5	40‑40	1st serve down the T; backhand slice return crosscourt; forehand down the middle; forehand crosscourt (long),  unforced error.
Andy Roddick	0‑0	5‑5	AD‑40	1st serve down the T; forehand chip/slice return down the middle; forehand crosscourt; forehand down the middle,  forced error.
				
Roger Federer	0‑0	5‑6	0‑0	1st serve down the T; backhand return down the middle,  forced error.
Roger Federer	0‑0	5‑6	15‑0	1st serve down the T,  fault (wide). 2nd serve down the T; forehand chip/slice return crosscourt; forehand crosscourt; forehand crosscourt,  winner. (4-shot rally)
Roger Federer	0‑0	5‑6	15‑15	1st serve wide,  fault (long). 2nd serve to body; backhand return inside-out; forehand down the line (wide),  unforced error.
Roger Federer	0‑0	5‑6	15‑30	1st serve wide,  ace.
Roger Federer	0‑0	5‑6	30‑30	1st serve down the T; backhand return crosscourt; backhand down the line; forehand chip/slice down the middle; forehand inside-out; backhand crosscourt; backhand slice crosscourt,  forced error. (6-shot rally)
Roger Federer	0‑0	5‑6	30‑40	1st serve down the T; forehand chip/slice return down the middle; forehand inside-out; backhand down the line; forehand down the line,  forced error. (4-shot rally)
				
Andy Roddick	1‑0	0‑0	0‑0	1st serve down the T; backhand slice return down the middle,  forced error.
Andy Roddick	1‑0	0‑0	15‑0	1st serve wide,  fault (long). 2nd serve down the T; forehand return down the middle; forehand crosscourt; forehand crosscourt; forehand down the line,  forced error. (4-shot rally)
Andy Roddick	1‑0	0‑0	15‑15	1st serve down the T,  ace.
Andy Roddick	1‑0	0‑0	30‑15	1st serve down the T; forehand return crosscourt,  forced error.
Andy Roddick	1‑0	0‑0	40‑15	1st serve down the T,  ace.
				
Roger Federer	0‑1	0‑1	0‑0	1st serve wide,  fault (long). 2nd serve to body; backhand return down the middle; forehand inside-out,  winner.
Roger Federer	0‑1	0‑1	15‑0	1st serve wide,  fault (long). 2nd serve to body; backhand return down the middle; forehand volley down the middle; backhand down the middle,  forced error.
Roger Federer	0‑1	0‑1	30‑0	1st serve down the T,  ace.
Roger Federer	0‑1	0‑1	40‑0	1st serve down the T,  fault (net). 2nd serve wide; backhand return crosscourt; backhand down the line; forehand crosscourt; forehand down the middle; backhand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line; backhand down the middle; backhand slice down the middle; forehand crosscourt; forehand down the middle; forehand inside-out; backhand slice crosscourt; backhand down the line (long),  unforced error. (15-shot rally)
				
Andy Roddick	1‑0	1‑1	0‑0	1st serve wide,  ace.
Andy Roddick	1‑0	1‑1	15‑0	1st serve down the T; forehand return inside-out; backhand slice down the middle,  forced error.
Andy Roddick	1‑0	1‑1	15‑15	1st serve down the T,  fault (long). 2nd serve down the T,  fault (wide),  double fault.
Andy Roddick	1‑0	1‑1	15‑30	1st serve to body,  service winner.
Andy Roddick	1‑0	1‑1	30‑30	1st serve wide,  fault (net). 2nd serve to body; backhand slice return inside-in; backhand crosscourt; backhand crosscourt; backhand volley down the line,  winner. (5-shot rally)
Andy Roddick	1‑0	1‑1	40‑30	1st serve to body; backhand slice return crosscourt; backhand slice down the line; forehand crosscourt (net),  unforced error.
				
Roger Federer	0‑1	1‑2	0‑0	1st serve wide; forehand return down the line,  forced error.
Roger Federer	0‑1	1‑2	15‑0	1st serve wide,  fault (long). 2nd serve to body; forehand return down the middle; forehand down the middle; forehand down the middle; backhand slice down the middle; backhand slice inside-out; forehand crosscourt,  winner. (7-shot rally)
Roger Federer	0‑1	1‑2	30‑0	1st serve wide,  ace.
Roger Federer	0‑1	1‑2	40‑0	1st serve wide,  fault (net). 2nd serve wide; backhand return down the middle; backhand crosscourt; backhand down the line (wide),  unforced error.
				
Andy Roddick	1‑0	2‑2	0‑0	1st serve down the T; backhand slice return down the middle; forehand crosscourt; forehand down the middle,  forced error.
Andy Roddick	1‑0	2‑2	15‑0	1st serve wide; backhand return crosscourt,  forced error.
Andy Roddick	1‑0	2‑2	30‑0	1st serve down the T,  fault (wide). 2nd serve down the T,  fault (net),  double fault.
Andy Roddick	1‑0	2‑2	30‑15	1st serve down the T,  service winner.
Andy Roddick	1‑0	2‑2	40‑15	1st serve down the T; backhand slice return down the middle,  forced error.
				
Roger Federer	0‑1	2‑3	0‑0	1st serve wide,  fault (wide). 2nd serve wide; forehand return down the line; backhand down the middle; backhand slice inside-out (net),  unforced error.
Roger Federer	0‑1	2‑3	15‑0	1st serve down the T; forehand return down the middle,  forced error.
Roger Federer	0‑1	2‑3	30‑0	1st serve down the T; backhand return crosscourt; backhand slice crosscourt (net),  unforced error.
Roger Federer	0‑1	2‑3	30‑15	1st serve down the T; forehand return inside-out; backhand crosscourt; backhand down the middle (long),  unforced error.
Roger Federer	0‑1	2‑3	40‑15	1st serve down the T,  fault (wide and long). 2nd serve down the T; backhand return down the middle; backhand slice crosscourt; backhand down the line (net),  unforced error.
				
Andy Roddick	1‑0	3‑3	0‑0	1st serve down the T,  service winner.
Andy Roddick	1‑0	3‑3	15‑0	1st serve down the T; forehand return down the middle; backhand slice down the middle; forehand inside-out,  winner. (4-shot rally)
Andy Roddick	1‑0	3‑3	15‑15	1st serve down the T; backhand slice return down the middle; backhand slice crosscourt; backhand down the line; forehand volley crosscourt,  winner. (5-shot rally)
Andy Roddick	1‑0	3‑3	30‑15	1st serve down the T; forehand return inside-out,  forced error.
Andy Roddick	1‑0	3‑3	40‑15	1st serve down the T,  ace.
				
Roger Federer	0‑1	3‑4	0‑0	1st serve down the T,  fault (wide). 2nd serve to body; backhand return down the middle; forehand crosscourt (long),  unforced error.
Roger Federer	0‑1	3‑4	0‑15	1st serve wide,  fault (wide). 2nd serve down the T; forehand return down the middle (net),  unforced error.
Roger Federer	0‑1	3‑4	15‑15	1st serve wide; forehand return crosscourt,  forced error.
Roger Federer	0‑1	3‑4	30‑15	1st serve wide,  ace.
Roger Federer	0‑1	3‑4	40‑15	1st serve wide; forehand return down the line,  forced error.
				
Andy Roddick	1‑0	4‑4	0‑0	1st serve down the T; backhand slice return down the middle; forehand inside-out; backhand crosscourt; backhand volley down the line; forehand down the line,  forced error. (5-shot rally)
Andy Roddick	1‑0	4‑4	15‑0	1st serve down the T; forehand chip/slice return down the middle,  forced error.
Andy Roddick	1‑0	4‑4	30‑0	1st serve down the T,  ace.
